Run Number:,2,...3,Date:,20201102,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72,...73
ENTER SCAN DATA HERE,Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,0,200,400,600,800,1000,2000,68,67,70,75,69,64,72,65,71,59,30,52,66,57,63,62,56,5,40,7,1,53,34,55,41,10,36,37,13,61,33,51,44,50,43,14,9,16,60,3,58,46,11,32,49,8,42,29,24,47,12,38,31,18,15,48,21,54,6,2,45,35,17,39,4
200,1.4610000000000001,1.573,1.681,1.801,1.913,2.052,2.396,1.738,1.64,1.743,1.67,1.699,1.659,1.88,1.681,1.589,1.667,1.742,1.895,1.729,1.964,1.68,1.589,1.821,1.924,1.644,1.89,2.3,2.255,1.709,1.778,1.779,2.644,1.657,1.675,1.739,1.61,1.773,1.694,1.667,2.129,1.628,1.713,2.427,2.224,1.699,1.84,1.841,1.797,1.926,2.217,1.929,2.168,1.649,2.23,1.684,1.864,1.748,1.841,1.991,1.823,1.845,1.815,1.782,1.684,2.24,1.675,2.142,1.656,1.647,2.174,1.667
205,1.258,1.376,1.487,1.611,1.727,1.876,2.289,1.536,1.451,1.551,1.477,1.503,1.465,1.689,1.487,1.402,1.472,1.55,1.702,1.537,1.781,1.483,1.4,1.632,1.738,1.452,1.702,2.159,2.093,1.521,1.588,1.588,2.571,1.465,1.485,1.547,1.423,1.577,1.499,1.473,1.952,1.433,1.52,2.315,2.054,1.507,1.649,1.651,1.605,1.739,2.055,1.742,2.003,1.453,2.054,1.488,1.675,1.551,1.65,1.804,1.631,1.654,1.624,1.59,1.489,2.074,1.479,1.969,1.463,1.478,2.003,1.491
210,1.0640000000000001,1.168,1.266,1.376,1.481,1.618,2.029,1.309,1.234,1.328,1.258,1.28,1.247,1.452,1.264,1.192,1.254,1.323,1.463,1.312,1.532,1.262,1.19,1.397,1.497,1.235,1.478,1.89,1.83,1.3,1.36,1.361,1.334,1.247,1.266,1.322,1.211,1.347,1.277,1.253,1.694,1.218,1.297,2.043,1.791,1.288,1.412,1.413,1.371,1.496,1.789,1.498,1.734,1.236,1.798,1.267,1.435,1.323,1.417,1.556,1.397,1.421,1.39,1.359,1.268,1.809,1.259,1.705,1.245,1.258,1.74,1.272
215,0.79400000000000004,0.869,0.942,1.024,1.103,1.208,1.528,0.976,0.919,0.997,0.939,0.955,0.928,1.1,0.941,0.887,0.934,0.988,1.106,0.981,1.15,0.942,0.885,1.045,1.13,0.919,1.144,1.425,1.398,0.975,1.02,1.022,1.818,0.929,0.945,0.989,0.904,1.007,0.954,0.932,1.287,0.909,0.968,1.55,1.368,0.966,1.059,1.058,1.024,1.13,1.358,1.129,1.297,0.921,1.394,0.945,1.076,0.989,1.07,1.177,1.048,1.071,1.042,1.015,0.945,1.378,0.939,1.285,0.926,0.937,1.323,0.951
220,0.52500000000000002,0.571,0.618,0.672,0.724,0.792,0.995,0.644,0.604,0.668,0.62,0.631,0.611,0.746,0.618,0.583,0.615,0.654,0.749,0.65,0.764,0.622,0.581,0.692,0.761,0.604,0.809,0.942,0.955,0.65,0.681,0.684,1.248,0.611,0.625,0.657,0.597,0.668,0.631,0.613,0.875,0.6,0.64,1.031,0.939,0.645,0.706,0.702,0.678,0.762,0.918,0.759,0.852,0.608,0.984,0.623,0.716,0.656,0.723,0.797,0.699,0.721,0.694,0.673,0.623,0.94,0.619,0.86,0.607,0.617,0.9,0.63
225,0.29399999999999998,0.315,0.339,0.368,0.397,0.434,0.535,0.359,0.334,0.383,0.346,0.353,0.338,0.44,0.34,0.323,0.342,0.366,0.441,0.366,0.433,0.348,0.32,0.388,0.443,0.334,0.521,0.528,0.574,0.37,0.388,0.393,0.752,0.338,0.35,0.372,0.333,0.377,0.354,0.338,0.522,0.336,0.359,0.585,0.569,0.369,0.402,0.396,0.379,0.446,0.541,0.441,0.471,0.34,0.631,0.348,0.407,0.37,0.424,0.469,0.399,0.42,0.394,0.377,0.348,0.563,0.345,0.494,0.334,0.343,0.536,0.355
238,6.5000000000000002E-2,0.064,0.066,0.071,0.077,0.083,0.085,0.08,0.069,0.101,0.077,0.079,0.071,0.13,0.07,0.068,0.073,0.083,0.13,0.085,0.104,0.078,0.065,0.088,0.124,0.07,0.226,0.117,0.185,0.095,0.098,0.103,0.257,0.072,0.08,0.092,0.074,0.09,0.082,0.07,0.163,0.077,0.082,0.141,0.191,0.096,0.101,0.095,0.086,0.129,0.161,0.123,0.096,0.077,0.264,0.078,0.104,0.088,0.123,0.138,0.102,0.118,0.1,0.088,0.078,0.181,0.077,0.129,0.068,0.074,0.167,0.084
250,3.7999999999999999E-2,0.035,0.034,0.038,0.041,0.043,0.038,0.047,0.038,0.062,0.044,0.045,0.039,0.084,0.038,0.038,0.04,0.048,0.08,0.049,0.061,0.043,0.036,0.051,0.077,0.038,0.182,0.065,0.124,0.06,0.059,0.063,0.196,0.041,0.047,0.057,0.043,0.052,0.048,0.039,0.107,0.045,0.048,0.083,0.131,0.059,0.061,0.057,0.05,0.083,0.105,0.078,0.052,0.044,0.198,0.046,0.07,0.051,0.079,0.091,0.062,0.075,0.063,0.052,0.044,0.121,0.046,0.08,0.037,0.043,0.111,0.05
