Run Number:,3,...3,Date:,20201112,...6,Initials:,RN,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68,...69,...70,...71,...72
ENTER SCAN DATA HERE,Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength,0,200,400,600,800,1000,2000,179,95,99,180,181,86,87,88,92,83,104,84,182,91,97,90,94,96,89,98,93,100,103,85,101,102,77,80,74,76,78,82,79,73,81,193,159,192,174,167,150,187,146,151,189,164,191,166,178,190,165,194,169,186,175,173,176,172,188,161,168,153,162,142
200,1.413,1.64,1.748,1.861,1.985,2.103,2.456,1.754,2.235,1.866,1.967,1.703,1.958,1.91,1.961,1.799,1.773,2.398,1.964,1.994,1.756,1.844,1.748,1.887,1.773,1.978,1.798,1.787,1.913,2.133,1.757,2.032,1.917,1.899,2.065,2.126,1.826,2.156,2.042,1.892,1.923,2.026,1.868,1.77,1.967,2.03,1.807,2.085,1.797,2.391,1.783,1.74,2.341,1.889,1.994,1.881,1.931,1.874,1.967,2.525,2.017,1.807,1.78,1.997,1.875,2.011,2.058,2.001,1.849,1.934,1.766
205,1.2230000000000001,1.444,1.556,1.668,1.801,1.927,2.342,1.566,2.059,1.674,1.778,1.516,1.769,1.721,1.774,1.603,1.58,2.245,1.771,1.801,1.56,1.66,1.552,1.695,1.579,1.784,1.595,1.593,1.722,1.956,1.564,1.852,1.726,1.703,1.87,1.944,1.635,1.984,1.86,1.698,1.727,1.846,1.672,1.575,1.783,1.847,1.617,1.903,1.598,2.237,1.58,1.554,2.169,1.7,1.813,1.692,1.738,1.677,1.778,2.402,1.836,1.623,1.586,1.808,1.677,1.819,1.878,1.815,1.657,1.746,1.571
210,1.0369999999999999,1.229,1.328,1.426,1.546,1.663,2.081,1.337,1.794,1.443,1.543,1.293,1.524,1.478,1.526,1.37,1.35,1.976,1.526,1.55,1.331,1.428,1.324,1.458,1.349,1.53,1.357,1.359,1.477,1.701,1.335,1.619,1.479,1.455,1.612,1.677,1.399,1.719,1.606,1.455,1.475,1.596,1.427,1.342,1.534,1.596,1.384,1.643,1.36,1.963,1.344,1.327,1.913,1.457,1.57,1.453,1.488,1.433,1.541,2.139,1.581,1.389,1.353,1.552,1.429,1.565,1.622,1.568,1.42,1.5,1.341
215,0.76800000000000002,0.908,0.981,1.053,1.144,1.231,1.563,0.989,1.354,1.09,1.181,0.955,1.142,1.098,1.138,1.015,1.001,1.506,1.147,1.163,0.984,1.071,0.977,1.093,0.998,1.138,1.004,1.007,1.1,1.292,0.986,1.254,1.1,1.079,1.216,1.255,1.039,1.287,1.201,1.082,1.091,1.203,1.057,0.991,1.141,1.201,1.028,1.232,1.005,1.494,0.994,0.983,1.495,1.082,1.189,1.086,1.105,1.065,1.175,1.648,1.176,1.028,1.001,1.155,1.057,1.174,1.211,1.18,1.056,1.117,0.994
220,0.5,0.586,0.633,0.68,0.737,0.792,1.007,0.643,0.905,0.736,0.816,0.617,0.758,0.717,0.746,0.66,0.65,1.018,0.766,0.774,0.638,0.713,0.632,0.726,0.647,0.744,0.655,0.655,0.722,0.876,0.639,0.886,0.719,0.704,0.82,0.83,0.677,0.847,0.791,0.706,0.707,0.808,0.689,0.641,0.747,0.801,0.67,0.817,0.651,1.012,0.646,0.637,1.067,0.705,0.804,0.717,0.724,0.697,0.807,1.129,0.767,0.666,0.648,0.755,0.686,0.782,0.794,0.788,0.689,0.729,0.646
225,0.26700000000000002,0.308,0.332,0.359,0.387,0.414,0.528,0.341,0.518,0.43,0.502,0.324,0.425,0.388,0.407,0.352,0.347,0.595,0.436,0.44,0.34,0.403,0.333,0.409,0.343,0.405,0.353,0.352,0.396,0.517,0.338,0.567,0.391,0.38,0.478,0.465,0.365,0.468,0.438,0.382,0.376,0.466,0.372,0.338,0.406,0.454,0.361,0.46,0.346,0.595,0.347,0.338,0.693,0.379,0.473,0.398,0.395,0.38,0.488,0.678,0.414,0.353,0.343,0.41,0.367,0.44,0.435,0.45,0.373,0.396,0.346
238,4.8000000000000001E-2,0.047,0.049,0.054,0.056,0.055,0.068,0.057,0.135,0.126,0.191,0.048,0.102,0.073,0.082,0.061,0.059,0.173,0.113,0.118,0.056,0.1,0.05,0.1,0.055,0.079,0.064,0.062,0.081,0.158,0.053,0.242,0.076,0.069,0.143,0.108,0.066,0.099,0.097,0.071,0.06,0.127,0.068,0.051,0.078,0.116,0.066,0.11,0.056,0.177,0.06,0.055,0.307,0.068,0.143,0.088,0.076,0.074,0.163,0.221,0.076,0.057,0.054,0.078,0.061,0.112,0.087,0.117,0.069,0.075,0.06
250,2.4E-2,0.021,0.02,0.022,0.023,0.021,0.023,0.027,0.081,0.079,0.15,0.02,0.059,0.037,0.044,0.031,0.028,0.109,0.068,0.083,0.026,0.059,0.022,0.058,0.025,0.041,0.031,0.029,0.043,0.103,0.024,0.189,0.04,0.034,0.1,0.064,0.032,0.054,0.057,0.035,0.026,0.078,0.033,0.021,0.04,0.07,0.033,0.065,0.025,0.114,0.027,0.025,0.234,0.033,0.093,0.049,0.039,0.038,0.107,0.147,0.038,0.026,0.024,0.04,0.028,0.066,0.045,0.069,0.035,0.038,0.028
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COEFFICIENTS OF 3RD-ORDER POLYNOMIAL (c3*x^3)+(c2*x^2)+c1*x)+b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,1.4688044692439911E-5,0.0000195780128145689,0.0000223809022540145,0.0000246800778610557,0.0000286371818896337,0.0000326250918418519,0.0000497170915607008,0.0000225210753384913,0.0000335161289206072,0.0000227852156091568,0.0000242155007307674,0.0000217384409860007,0.0000260857018408578,0.0000258265251069989,0.0000270417386674282,0.0000229259255272454,0.000022584404438628,0.0000392014738400372,0.0000254917991445701,0.0000262374347519086,0.0000218803137454493,0.000023783920936473,0.0000219795436287631,0.0000241350041888997,0.0000226371258545315,0.0000265883214527131,0.0000215959302488724,0.0000224235074776048,0.0000252629510176336,0.0000299381227437963,0.0000223268900602591,0.0000251485970734599,0.0000255147373681652,0.0000246406475975338,0.0000267509272147494,0.0000303802902277905,0.0000237135295859786,0.0000327762977033855,0.0000291299934084455,0.0000249173861153378,0.0000254958843522187,0.0000276631677829292,0.0000238137186648516,0.0000223433740313352,0.0000274778888486443,0.0000280498411366808,0.0000234346255480181,0.0000294588151991378,0.0000223027080771794,0.0000382875736609965,0.000021383392875521,0.00002248431003481,0.0000316910133901325,0.0000253797653364542,0.0000264530966864033,0.0000245776052363963,0.0000254658211763463,0.0000238163461841239,0.0000244096658598938,0.0000446780334968431,0.0000290845525156605,0.0000242349607731692,0.0000227021275540828,0.0000275788957160765,0.0000239920862477707,0.0000265044165559471,0.0000299606738601751,0.0000269330187813289,0.0000242384652205828,0.0000264530628661742,0.0000220728197097918
c2,-9.2606062102868654E-3,-0.0124596615742434,-0.014310093234587,-0.0158170120774197,-0.0184414753951026,-0.0210915915458164,-0.0325646911187928,-0.0144081185455734,-0.0217067140567662,-0.0145963835913188,-0.015541266455849,-0.0138968128494112,-0.0167671982751677,-0.0165883456032934,-0.0173956829554786,-0.014661896743544,-0.0144449362474574,-0.0255263295622215,-0.0163705329590726,-0.0168448620042584,-0.0139714516759016,-0.0152622862428421,-0.0140376964877884,-0.0154780113924377,-0.0144768606427343,-0.0170739161667658,-0.013762371592758,-0.0143307835607699,-0.0162115273116164,-0.0193447056318609,-0.0142716627842533,-0.0161918390248519,-0.0163735253892347,-0.0157833690079654,-0.0171824347958482,-0.019597392829212,-0.0151917375146942,-0.0212095910534428,-0.0187826723260038,-0.0159798088407639,-0.0163437492373198,-0.0178278215957681,-0.0152358848716645,-0.0142750842760902,-0.017686298717617,-0.0180766951112898,-0.0150111525966523,-0.0189980131472399,-0.0142354200948061,-0.0249063374521656,-0.0136238494440592,-0.0143904953919837,-0.0205418823783789,-0.0162916899461537,-0.0170332342336606,-0.0157712165705921,-0.0163349946261452,-0.0152418569263483,-0.0156843383452828,-0.0292330167580607,-0.0187490110227726,-0.0155453384041626,-0.014515804251053,-0.0177376208534259,-0.0153469534364918,-0.0170286951998027,-0.0193369902419974,-0.0173371264533091,-0.015539290466395,-0.0170049274331933,-0.0141023336208436
