,projectID,sampleID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,runID,chl,replicate,metadataID,comments,flag,updateID,check,QC
17310,17,BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505,BA,DeepHole,7/27/2020,7/27/2020 11:30,PML,0,2.5,3,7.060571241,1,Chlorophyll.20110601,NA,0,TBD,0,ok
5510,17,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505,BA,DeepHole,6/15/2020,6/15/2020 14:00,Hypo,6.5,6.5,1,20.16057483,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high
5610,17,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505,BA,DeepHole,6/15/2020,6/15/2020 14:00,Hypo,6.5,6.5,2,22.46463424,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high 
14310,15,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505,CR,DeepHole,7/10/2020,7/10/2020 10:25,Hypo,7.5,7.5,1,16.67449477,1,Chlorophyll.20110601,NA,0,TBD,0,High; rep ok
22310,3,FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505,FE,DeepHole,8/11/2020,8/11/2020 10:45,Hypo,8,8,1,8.298809184,1,Chlorophyll.20110601,NA,0,TBD,0,Within normal after typo fixed
13910,15,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505,HB,DeepHole,7/8/2020,7/8/2020 9:45,Hypo,3.5,3.5,1,26.57532587,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high; matches trend
1404,15,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505,HB,DeepHole,7/8/2020,7/8/2020 9:45,Hypo,3.5,3.5,1,24.29987408,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high; matches trend
21610,15,HB_DeepHole_20200805_0855_Hypo_4_Limno.Sample.20160505,HB,DeepHole,8/5/2020,8/5/2020 8:55,Hypo,4,4,2,29.27080656,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high; matches trend
25110,15,HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505,HB,DeepHole,8/18/2020,8/18/2020 9:50,Hypo,4,4,2,31.95304213,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep lower
12810,15,MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505,MO,DeepHole,7/6/2020,7/6/2020 9:01,Hypo,3.5,3.5,1,68.49544051,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok
16010,15,MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505,MO,DeepHole,7/20/2020,7/20/2020 9:00,Hypo,4,4,2,75.53658893,2,Chlorophyll.20110601,NA,0,TBD,0,High; rep ok
20310,15,MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505,MO,DeepHole,8/3/2020,8/3/2020 8:50,Hypo,4,4,3,57.9461287,1,Chlorophyll.20110601,NA,0,TBD,0,ok
19910,17,TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505,TU,DeepHole,7/29/2020,7/29/2020 11:30,Hypo,6,6,3,32.2265032,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok
26810,3,WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505,WL,DeepHole,8/20/2020,8/20/2020 9:10,Hypo,8,8,1,22.87421477,2,Chlorophyll.20110601,NA,0,TBD,0,ok
18610,3,WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505,WL,DeepHole,7/28/2020,7/28/2020 10:15,PML,0,1.5,2,12.07328423,2,Chlorophyll.20110601,NA,0,TBD,0,ok
20910,3,WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505,WL,DeepHole,8/4/2020,8/4/2020 8:45,PML,0,2.5,2,12.47849839,1,Chlorophyll.20110601,NA,0,TBD,0,ok
2931,35,WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505,WL,DeepHole,8/26/2020,8/26/2020 11:37,PML,0,1.5,1,25.76395806,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok
2302,17,BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505,BO,DeepHole,8/12/2020,8/12/2020 10:55,PML,0,0,1,79.97547477,2,Chlorophyll.20110601,NA,?,TBD,1,High; rep ok; sample high enough to require dilution
