projectID,sampleID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,runID,chl,replicate,metadataID,comments,flag,updateID,check,QC (goes in db table),Randi's Comments,Stuart's thoughts
17,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505,BA,DeepHole,6/15/2020,6/15/2020 14:00,Hypo,6.5,6.5,1,20.16057,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high,"I don't think these need a flag- both replicates are high, and there was a similarly high one last year that wasn't flagged (known because all previously flagged values are removed from these plots)",
17,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505,BA,DeepHole,6/15/2020,6/15/2020 14:00,Hypo,6.5,6.5,2,22.46463,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high,"I don't think these need a flag- both replicates are high, and there was a similarly high one last year that wasn't flagged (known because all previously flagged values are removed from these plots)",
17,BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505,BA,DeepHole,7/27/2020,7/27/2020 11:30,PML,0,2.5,3,7.060571,1,Chlorophyll.20110601,NA,0,TBD,0,,ok- barely outside of normal range,
17,BO_DeepHole_20200812_1055_PML_0_Limno.Sample.20160505,BO,DeepHole,8/12/2020,8/12/2020 10:55,PML,0,0,1,79.97547,2,Chlorophyll.20110601,NA,1,TBD,1,High; rep ok; sample high enough to require dilution,,I think this one should be flagged; unless I'm missing something
15,CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505,CR,DeepHole,7/10/2020,7/10/2020 10:25,Hypo,7.5,7.5,1,16.67449,1,Chlorophyll.20110601,NA,0,TBD,0,High; rep ok,I don't think this needs a flag - value not too far from normal range,
3,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505,FE,DeepHole,7/15/2020,7/15/2020 10:15,PML,0,1.5,3,24.35091,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high,In range with peak values from last year,seem ok; no flag
3,FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505,FE,DeepHole,7/15/2020,7/15/2020 10:15,PML,0,1.5,1,30.62179,2,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high,In range with peak values from last year,seem ok; no flag
3,FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505,FE,DeepHole,7/28/2020,7/28/2020 12:10,PML,0,1,3,18.98401,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep ok,In range with peak values from last year,seem ok; no flag
3,FE_DeepHole_20200811_1045_Hypo_8_Limno.Sample.20160505,FE,DeepHole,8/11/2020,8/11/2020 10:45,Hypo,8,8,1,8.298809,1,Chlorophyll.20110601,NA,0,TBD,0,Within normal after typo fixed,I don't think this needs a flag - it's barely outside of range and it's replicate is close,
15,HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505,HB,DeepHole,7/8/2020,7/8/2020 9:45,Hypo,3.5,3.5,1,26.57533,1,Chlorophyll.20110601,NA,0,TBD,1,High; rep also high; matches trend,I don't think this needs a flag - value not too far from normal range,
