"","projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID","depthClass","siteName","check","plotNum"
"18107","17","BA","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505",2020-06-15,"TN",698.653177493874,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",3
"18234","17","BO","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505",2020-08-12,"nitrate",294.769473550824,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",12
"18343","17","BO","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505",2020-07-01,"nitrate",291.155848208888,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",12
"18042","17","CB","CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505",2020-08-12,"TN",1870.73276091254,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",27
"18041","17","CB","CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505",2020-08-12,"TN",1910.9028872156,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",31
"17710","15","CR","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505",2020-06-11,"TP",94.1372125101496,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",33
"17904","15","CR","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505",2020-06-11,"SRP",88.1696540090563,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",34
"18032","15","CR","CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505",2020-08-06,"TN",1634.6029692036,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",35
"18167","15","CR","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505",2020-07-10,"TN",810.002398039659,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",39
"18049","15","CR","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505",2020-08-17,"TN",1717.37625722879,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",43
"18169","15","CR","CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505",2020-07-10,"TN",927.427825116863,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",43
