,projectID,sampleID,lakeID,dateSample,parameter,parameterValue,QCcode,flag,comments,metadataID,updateID,depthClass,siteName,check,plotNum,RandiComments,StuartComments,,,Sheet is filterable- 
18122,3,FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505,FE,6/4/2020,TN,3396.005,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,47,"6/4: Hypo, PML, and Inlet all have very high TN. Maybe real?",,,,can sort by sampleID (groups lakes) or by dateSample (shows trends)
18111,3,FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505,FE,6/4/2020,TN,1998.325,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,51,"6/4: Hypo, PML, and Inlet all have very high TN. Maybe real?",,,,
18133,3,FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505,FE,6/4/2020,TN,4661.75,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,55,"6/4: Hypo, PML, and Inlet all have very high TN. Maybe real?",,,,Main question- 
18100,3,WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505,WL,6/4/2020,TN,2849.415,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,51,"6/4: Hypo, PML, and Inlet all have very high TN. Maybe real?",,,,"On days when mulitple lakes/sites experience higher than normal values, should they be trusted or all rerun?"
18089,3,WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505,WL,6/4/2020,TN,1753.845,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,51,"6/4: Hypo, PML, and Inlet all have very high TN. Maybe real?",,,,Ex. 6/4: high TN accross FE/WL and PML/Hypo
17710,15,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505,CR,6/11/2020,TP,94.13721,NA,2,,,,,,,,"Day of large storm. TP and SRP both high, same day. Rerun?",,,,Ex. 7/6: High everything at MO Inlet 1
17904,15,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505,CR,6/11/2020,SRP,88.16965,NA,2,,,,,,,,"Day of large storm. TP and SRP both high, same day. Rerun?",,,,"Ex. 7/20: High TN, PO(P,C,N) at all inlets"
18107,17,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505,BA,6/15/2020,TN,698.6532,NA,0,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,3,ok - barely outside of normal range,,,,"Ex. 8/19-20: High TN, SRP, POP accross MO/FE/WL at Hypo/PML/inlets"
18117,17,PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505,PE,6/17/2020,TN,2160.38,NA,0,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,119,ok - barely outside of normal range,,,,
18134,17,ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505,ME,6/24/2020,TN,723.5127,NA,0,NA,Nutrients.20110601,tableNutrients.20210217,Hypo,DeepHole,1,71,"ok - not outside of normal range for FE or WL, limited record for ME to compare",,,,
18335,17,WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505,WA,6/29/2020,nitrate,372.0302,NA,0,NA,Nutrients.20110604,tableNutrients.20210220,Hypo,DeepHole,1,119,ok - barely outside of normal range,,,,
17954,3,WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505,WL,6/30/2020,SRP,16.27312,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,146,Will rerun,,,,
18343,17,BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505,BO,7/1/2020,nitrate,291.1558,NA,0,NA,Nutrients.20110602,tableNutrients.20210218,Hypo,DeepHole,1,12,ok - matches other highs,,,,
17771,15,MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505,MO,7/6/2020,TP,49.78889,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,89,"7/6: Everything (TP, TN, nitrate, SRP). Maybe real?",,,,
18157,15,MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505,MO,7/6/2020,TN,1458.404,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,95,"7/6: Everything (TP, TN, nitrate, SRP). Maybe real?",,,,
18351,15,MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505,MO,7/6/2020,nitrate,369.8968,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,98,"7/6: Everything (TP, TN, nitrate, SRP). Maybe real?",,,,
18352,15,MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505,MO,7/6/2020,nitrate,145.764,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet2,1,99,"7/6: Everything (TP, TN, nitrate, SRP). Maybe real?",,,,
18163,15,HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505,HB,7/8/2020,TN,1269.059,NA,0,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,63,ok - barely outside of normal range,,,,
18167,15,CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505,CR,7/10/2020,TN,810.0024,NA,0,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,39,ok - matches other highs,,,,
18169,15,CR_Outlet_20200710_1025_Surface_0_Limno.Sample.20160505,CR,7/10/2020,TN,927.4278,NA,0,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Outlet,1,43,ok - barely outside of normal range,,,,
17987,15,MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505,MO,7/20/2020,TN,2412.271,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,PML,DeepHole,1,87,"7/20: High TN in PML, Inlet 1, and Inlet 2. Maybe real? High POP and POC/PON too",,,,
17989,15,MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505,MO,7/20/2020,TN,2485.925,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet1,1,95,"7/20: High TN in PML, Inlet 1-3. Maybe real? High POP and POC/PON too",,,,
17990,15,MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505,MO,7/20/2020,TN,3436.34,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet2,1,96,"7/20: High TN in PML, Inlet 1-3. Maybe real? High POP and POC/PON too",,,,
18182,15,MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505,MO,7/20/2020,nitrate,1041.539,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet2,1,99,"7/20: High TN in PML, Inlet 1-3. Maybe real? High POP and POC/PON too",,,,
17991,15,MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505,MO,7/20/2020,TN,5537.954,NA,2,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet2,1,99,"7/20: High TN in PML, Inlet 1-3. Maybe real? High POP and POC/PON too",,,,
17628,17,PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505,PE,7/29/2020,TP,196.0928,NA,0,NA,Nutrients.20110602,tableNutrients.20210218,Hypo,DeepHole,1,119,ok - barely outside of normal range,,,,
17820,17,PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505,PE,7/29/2020,SRP,163.0341,NA,0,NA,Nutrients.20110603,tableNutrients.20210219,Hypo,DeepHole,1,119,ok - barely outside of normal range,,,,
17828,15,MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505,MO,8/3/2020,SRP,52.2359,NA,1,NA,Nutrients.20110601,tableNutrients.20210217,Surface,Inlet3,1,94,Will rerun,,,,
