"sampleID","ID","parameter","runID"
"MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505","F81","nitrate","Nitrate_run1_20201110.csv"
"MO_Inlet2_20200706_0901_Surface_0_Limno.Sample.20160505","F82","nitrate","Nitrate_run1_20201110.csv"
"MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505","F103","nitrate","Nitrate_run2_20201111.csv"
"CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505","F26","SRP","SRP_run1_20201110.xlsx"
"FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505","F167","SRP","SRP_run3_20201113.xlsx"
"ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505","F170","SRP","SRP_run3_20201113.xlsx"
"MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505","F132","SRP","SRP_run3_20201113.xlsx"
"WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505","F71","SRP","SRP_run2_20201111.xlsx"
"CB_DeepHole_20200812_0915_Hypo_3_Limno.Sample.20160505","U152","TN","TN_run1_20201028.csv"
"CB_DeepHole_20200812_0915_PML_0.5_Limno.Sample.20160505","U151","TN","TN_run3_202011112.csv"
"CR_DeepHole_20200806_0922_Hypo_8_Limno.Sample.20160505","U142","TN","TN_run3_202011112.csv"
"CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505","U159","TN","TN_run3_202011112.csv"
"FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505","U5","TN","TN_run2_202011102.csv"
"FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505","U4","TN","TN_run2_202011102.csv"
"FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505","U168","TN","TN_run3_202011112.csv"
"FE_DeepHole_20200820_1132_PML_1.5_Limno.Sample.20160505","U167","TN","TN_run3_202011112.csv"
"FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505","U6","TN","TN_run2_202011102.csv"
"FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505","U146","TN","TN_run3_202011112.csv"
"FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505","U169","TN","TN_run3_202011112.csv"
"HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505","U138","TN","NA"
"HB_DeepHole_20200818_0950_Hypo_4_Limno.Sample.20160505","U161","TN","TN_run3_202011112.csv"
"HB_Outlet_20200818_0950_Surface_0_Limno.Sample.20160505","U162","TN","TN_run3_202011112.csv"
"ME_Outlet_20200820_1054_Surface_0_Limno.Sample.20160505","U172","TN","TN_run3_202011112.csv"
"MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505","U100","TN","TN_run3_202011112.csv"
"MO_DeepHole_20200819_1015_Hypo_4.5_Limno.Sample.20160505","U164","TN","TN_run3_202011112.csv"
"MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505","U81","TN","TN_run3_202011112.csv"
"MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505","U102","TN","TN_run3_202011112.csv"
"MO_Inlet1_20200819_1015_Surface_0_Limno.Sample.20160505","U165","TN","TN_run3_202011112.csv"
"MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505","U103","TN","TN_run3_202011112.csv"
"MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505","U166","TN","TN_run3_202011112.csv"
"MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505","U104","TN","TN_run3_202011112.csv"
"NG_DeepHole_20200814_1000_PML_0_Limno.Sample.20160505","U153","TN","TN_run3_202011112.csv"
"WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505","U3","TN","TN_run2_202011102.csv"
"WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505","U2","TN","TN_run2_202011102.csv"
"WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505","U148","TN","NA"
"WL_DeepHole_20200820_0910_Hypo_8_Limno.Sample.20160505","U174","TN","TN_run3_202011112.csv"
"WL_DeepHole_20200820_0910_PML_2_Limno.Sample.20160505","U173","TN","TN_run3_202011112.csv"
"WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505","U188","TN","TN_run3_202011112.csv"
"WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505","U187","TN","TN_run3_202011112.csv"
"CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505","U26","TP","TP_run1_20201028.xlsx"
"HB_DeepHole_20200805_0855_PML_1_Limno.Sample.20160505","U138","TP","NA"
"MO_Inlet1_20200706_0901_Surface_0_Limno.Sample.20160505","U81","TP","TP_run3_20201109.xlsx"
"WL_DeepHole_20200811_0948_Hypo_8_Limno.Sample.20160505","U148","TP","NA"
