"","projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID","depthClass","siteName","check","plotNum"
"19","17","CB","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505",2020-07-01,"POC",341.491,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",21
"49","15","CR","CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505",2019-07-01,"particulateP",25.1042001240534,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",31
"52","15","CR","CR_Outlet_20190814_1150_Surface_0_Limno.Sample.20160505",2019-08-14,"particulateP",41.4584500206413,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",31
"50","17","CR","CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505",2019-06-20,"POC",1507,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Surface","Outlet","1",33
"54","15","CR","CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505",2020-08-17,"POC",1297.744,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Surface","Outlet","1",33
"139","3","FE","FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505",2019-07-16,"particulateP",24.2222778962909,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",34
"142","3","FE","FE_DeepHole_20190730_1001_Hypo_8_Limno.Sample.20160505",2019-07-30,"particulateP",23.9191935222075,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",34
"143","3","FE","FE_DeepHole_20190521_1008_Hypo_8_Limno.Sample.20160505",2019-05-21,"particulateP",5.97108290680858,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",34
"146","3","FE","FE_DeepHole_20190820_1340_Hypo_8_Limno.Sample.20160505",2019-08-20,"particulateP",26.3890528999001,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",34
"157","3","FE","FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505",2020-08-20,"particulateP",23.6246857915602,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",34
"144","3","FE","FE_DeepHole_20190806_937_Hypo_8_Limno.Sample.20160505",2019-08-06,"PON",528,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Hypo","DeepHole","1",35
"153","3","FE","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",2020-06-16,"PON",200.841,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",35
"154","3","FE","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505",2020-06-16,"POC",1430.221,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",36
"138","3","FE","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505",2019-05-08,"particulateP",22.8010319682379,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",37
"1421","3","FE","FE_DeepHole_20190709_1104_PML_1_Limno.Sample.20160505",2019-07-09,"particulateP",21.3193818195789,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",37
"1461","3","FE","FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505",2019-05-21,"particulateP",22.7636567501998,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",37
"1441","3","FE","FE_DeepHole_20190702_908_PML_1.5_Limno.Sample.20160505",2019-07-02,"PON",262,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",38
"140","3","FE","FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505",2019-05-13,"POC",1412,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",39
"105","3","FE","FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505",2019-07-16,"particulateP",16.4689731850728,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Inlet1","1",40
"99","3","FE","FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505",2019-07-16,"PON",166,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Surface","Inlet1","1",41
"45","15","HB","HB_Outlet_20190803_1345_Surface_0_Limno.Sample.20160505",2019-08-03,"particulateP",40.7120960381053,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",49
"46","15","HB","HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505",2019-08-14,"particulateP",30.3298184342058,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",49
"47","15","HB","HB_Outlet_20191006_1047_Surface_0_Limno.Sample.20160505",2019-10-06,"particulateP",28.1725686760841,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",49
"451","15","HB","HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505",2019-08-14,"PON",329,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Surface","Outlet","1",50
"44","17","HB","HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505",2019-07-19,"POC",1840,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Surface","Outlet","1",51
"452","15","HB","HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505",2019-08-14,"POC",2818,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Surface","Outlet","1",51
"7","15","ME","ME_DeepHole_20190524_840_PML_1.5_Limno.Sample.20160505",2019-05-24,"particulateP",10.6659555354892,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",55
"6","3","ME","ME_DeepHole_20190730_1041_PML_2_Limno.Sample.20160505",2019-07-30,"PON",134,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",56
"60","15","MO","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505",2020-06-22,"particulateP",55.8613262389666,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",61
"63","15","MO","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",2020-07-20,"POC",2636.773,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Hypo","DeepHole","1",63
"56","17","MO","MO_DeepHole_20190617_930_PML_1_Limno.Sample.20160505",2019-06-17,"PON",217,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","PML","DeepHole","1",65
"62","15","MO","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505",2020-06-12,"PON",227.133,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","PML","DeepHole","1",65
"48","17","MO","MO_Outlet_20190731_938_Surface_0_Limno.Sample.20160505",2019-07-31,"particulateP",27.6534046816254,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Outlet","1",68
"55","17","MO","MO_Inlet2_20190731_938_Surface_0_Limno.Sample.20160505",2019-07-31,"particulateP",42.2676481865224,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Surface","Inlet2","1",70
"66","15","MO","MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505",2020-06-12,"PON",182.916,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Surface","Inlet1","1",71
"57","17","MO","MO_Inlet2_20190731_938_Surface_0_Limno.Sample.20160505",2019-07-31,"PON",341,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312","Surface","Inlet2","1",72
"601","15","MO","MO_Inlet2_20200819_1015_Surface_0_Limno.Sample.20160505",2020-08-19,"PON",265.274,NA,0,"","Iso.POC.CEST.20111214","tableNutrients.20210217","Surface","Inlet2","1",72
"13","17","NG","NG_DeepHole_20190729_836_Hypo_4.5_Limno.Sample.20160505",2019-07-29,"particulateP",17.5523451820669,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","Hypo","DeepHole","1",79
"15","17","NG","NG_DeepHole_20190729_836_PML_0.75_Limno.Sample.20160505",2019-07-29,"particulateP",29.1861921674929,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",82
"36","13","PA","PA_DeepHole_20191007_1000_PML_6_Limno.Sample.20160505",2019-10-07,"particulateP",13.4917149903816,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217","PML","DeepHole","1",88
