,projectID,lakeID,sampleID,dateSample,parameter,parameterValue,QCcode,flag,rerun,Randi's Comments,Stuart's thoughts,Note: POC/PON/POP can be rerun with the back-up filter. 
19,17,CB,CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505,7/1/2020,POC,341.491,NA,0,n,ok- barely outside of range,,"Flags ""1"" indicate that I'm planning to rerun them. "
49,15,CR,CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505,7/1/2019,particulateP,25.1042,NA,1,y,Will rerun,,Highlighted yellow means I'm unsure and would appreciate your thoughts. Thank you!
52,15,CR,CR_Outlet_20190814_1150_Surface_0_Limno.Sample.20160505,########,particulateP,41.45845,NA,1,y,Will rerun,,
50,17,CR,CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505,########,POC,1507,NA,1,y,Will rerun,,
54,15,CR,CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505,########,POC,1297.744,NA,1,y,Will rerun,,
139,3,FE,FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505,########,particulateP,24.22228,NA,0,n,"These seem ok, no rerun?",no rerun,
142,3,FE,FE_DeepHole_20190730_1001_Hypo_8_Limno.Sample.20160505,########,particulateP,23.91919,NA,0,n,"These seem ok, no rerun?",no rerun,
143,3,FE,FE_DeepHole_20190521_1008_Hypo_8_Limno.Sample.20160505,########,particulateP,5.971083,NA,0,n,"These seem ok, no rerun?",no rerun,
146,3,FE,FE_DeepHole_20190820_1340_Hypo_8_Limno.Sample.20160505,########,particulateP,26.38905,NA,0,n,"These seem ok, no rerun?",no rerun,
157,3,FE,FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505,########,particulateP,23.62469,NA,0,n,"These seem ok, no rerun? High nutrients too",no rerun,
144,3,FE,FE_DeepHole_20190806_937_Hypo_8_Limno.Sample.20160505,8/6/2019,PON,528,NA,1,y,Will rerun,,
153,3,FE,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505,########,PON,200.841,NA,1,y,Will rerun,,
154,3,FE,FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505,########,POC,1430.221,NA,1,y,Will rerun,,
138,3,FE,FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505,5/8/2019,particulateP,22.80103,NA,1,y,"Yes they're a lot higher than normal, but three in a summer and two very close to each other makes me think these might be ok. Plan to rerun just in case",good to check,
1421,3,FE,FE_DeepHole_20190709_1104_PML_1_Limno.Sample.20160505,7/9/2019,particulateP,21.31938,NA,1,y,"Yes they're a lot higher than normal, but three in a summer and two very close to each other makes me think these might be ok. Plan to rerun",good to check,
1461,3,FE,FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505,########,particulateP,22.76366,NA,1,y,"Yes they're a lot higher than normal, but three in a summer and two very close to each other makes me think these might be ok. Plan to rerun",good to check,
1441,3,FE,FE_DeepHole_20190702_908_PML_1.5_Limno.Sample.20160505,7/2/2019,PON,262,NA,0,n,Seems ok compared to 2018 spike that wasn't flagged.,ok,
140,3,FE,FE_DeepHole_20190513_1020_PML_0.5_Limno.Sample.20160505,########,POC,1412,NA,0,n,ok- barely outside of range,,
105,3,FE,FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505,########,particulateP,16.46897,NA,0,n,ok- barely outside of range,,
99,3,FE,FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505,########,PON,166,NA,0,n,ok- barely outside of range,,
45,15,HB,HB_Outlet_20190803_1345_Surface_0_Limno.Sample.20160505,8/3/2019,particulateP,40.7121,NA,1,y,"seems real, all spike together. no rerun",good to check because quite a bit out of range,
46,15,HB,HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505,########,particulateP,30.32982,NA,1,y,"seems real, all spike together. no rerun",good to check because quite a bit out of range,
47,15,HB,HB_Outlet_20191006_1047_Surface_0_Limno.Sample.20160505,########,particulateP,28.17257,NA,1,y,"seems real, all spike together. no rerun",good to check because quite a bit out of range,
451,15,HB,HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505,########,PON,329,NA,1,y,"seems real, all spike together. no rerun",good to check because quite a bit out of range,
