pocID,runID,trayLoc,PON.mg,POC.mg,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID,POC,PON,ID
P168,RN_20210201_run1b_021,p1a9,0.011229974,NA,3,FE,DeepHole,8/20/2020,11:32,Hypo,8,8,120,1,,FE_DeepHole_20200820_1132_Hypo_8_Limno.Sample.20160505,NA,0.094,168
P68,RN_20210201_run1b_048,p1c10,0.020586761,NA,17,WA,DeepHole,6/29/2020,8:54,Hypo,3.5,3.5,120,1,,WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505,NA,0.172,68
P27,RN_20210203_run2_021,P1D9,0.010433875,NA,15,CR,Outlet,6/11/2020,9:30,Surface,0,0,120,1,,CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505,NA,0.087,27
P108,RN_20210204_run3_017,P1G5,0.010166997,NA,3,FE,DeepHole,7/22/2020,11:45,Hypo,8,8,120,1,,FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505,NA,0.085,108
P112,RN_20210204_run3_013,P1G1,0.005773183,NA,15,CR,Outlet,7/23/2020,10:30,Surface,0,0,120,1,,CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505,NA,0.048,112
P43,RN_20210204_run3_046,P2A8,0.011469629,NA,35,TF,DeepHole,6/7/2020,11:45,point,7,7,120,1,,TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505,NA,0.096,43
P18,RN_20210204_run3_026,P1H1,0.017040567,NA,3,WL,DeepHole,6/9/2020,10:20,Hypo,8,8,120,1,,WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505,NA,0.142,18
P193,RN_20210204_run3_030,P1H5,0.012853179,NA,41,JO,DeepHole,9/1/2020,8:55,PML,0,3,120,1,,JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505,NA,0.107,193
P39,RN_20210204_run3_050,P2A12,0.00156304,NA,3,FE,Inlet1,6/16/2020,10:35,Surface,0,0,120,1,,FE_Inlet1_20200616_1035_Surface_0_Limno.Sample.20160505,NA,0.013,39
P40,RN_20210204_run3_049,P2A11,0.010817291,NA,3,WL,DeepHole,6/16/2020,8:56,PML,0,2,120,1,,WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505,NA,0.09,40
P85,RN_20210205_run4_051,P2D12,2.08E-05,NA,3,WL,DeepHole,7/7/2020,10:00,PML,0,1,120,1,,WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505,NA,0,85
