"sampleID","parameter","parameterValue","pocID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments"
"FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505","particulateP",22.80103,"P1",3,"FE","DeepHole",2019-05-08,"12:20","PML",0,0.5,140,"1",""
"FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505","particulateP",22.76366,"P21",3,"FE","DeepHole",2019-05-21,"10:08","PML",0,1,140,"1",""
"CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505","particulateP",25.1042,"P129",15,"CR","Outlet",2019-07-01,"9:55","Surface",0,0,140,"1",""
"FE_DeepHole_20190709_1104_PML_1_Limno.Sample.20160505","particulateP",21.31938,"P149",3,"FE","DeepHole",2019-07-09,"11:04","PML",0,1,140,"1",""
"WL_DeepHole_20190709_910_PML_1.5_Limno.Sample.20160505","particulateP",22.71904,"P151",3,"WL","DeepHole",2019-07-09,"9:10","PML",0,1.5,140,"1",""
"PE_DeepHole_20190801_948_PML_2_Limno.Sample.20160505","particulateP",20.04782,"P226",34,"PE","DeepHole",2019-08-01,"9:48","PML",0,2,140,"1",""
"HB_Outlet_20190803_1345_Surface_0_Limno.Sample.20160505","particulateP",40.7121,"P230",15,"HB","Outlet",2019-08-03,"13:45","Surface",0,0,100,"1",""
"CR_Outlet_20190814_1150_Surface_0_Limno.Sample.20160505","particulateP",41.45845,"P258",15,"CR","Outlet",2019-08-14,"11:50","Surface",0,0,140,"1",""
"HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505","particulateP",30.32982,"P261",15,"HB","Outlet",2019-08-14,"10:37","Surface",0,0,140,"1",""
"HB_Outlet_20191006_1047_Surface_0_Limno.Sample.20160505","particulateP",28.17257,"P316",15,"HB","Outlet",2019-10-06,"10:47","Surface",0,0,140,"1",""
"CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505","POC",1507,"P111",17,"CR","Outlet",2019-06-20,"9:34","Surface",0,0,140,"1",""
"HB_Outlet_20190719_1044_Surface_0_Limno.Sample.20160505","POC",1840,"P181",17,"HB","Outlet",2019-07-19,"10:44","Surface",0,0,140,"1",""
"HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505","POC",2818,"P261",15,"HB","Outlet",2019-08-14,"10:37","Surface",0,0,140,"1",""
"FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505","POC",1430.221,"P38",3,"FE","DeepHole",2020-06-16,"10:35","Hypo",8,8,100,"1",""
"CR_Outlet_20200817_0930_Surface_0_Limno.Sample.20160505","POC",1297.744,"P159",15,"CR","Outlet",2020-08-17,"9:30","Surface",0,0,120,"1",""
"FE_DeepHole_20190806_937_Hypo_8_Limno.Sample.20160505","PON",528,"P232",3,"FE","DeepHole",2019-08-06,"9:37","Hypo",8,8,140,"1",""
"HB_Outlet_20190814_1037_Surface_0_Limno.Sample.20160505","PON",329,"P261",15,"HB","Outlet",2019-08-14,"10:37","Surface",0,0,140,"1",""
"FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505","PON",200.841,"P38",3,"FE","DeepHole",2020-06-16,"10:35","Hypo",8,8,100,"1",""
