"pocID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID"
"P6",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,140,"1","","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505"
"P9",35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,140,"1","","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505"
"P42",17,"PA","DeepHole","6/17/2020","9:20","PML",0,2,120,"1","","PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505"
"P46",15,"MO","DeepHole","6/22/2020","9:05","PML",0,3.5,100,"1","","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505"
"P73",17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,120,"1","","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505"
"P96",3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,120,"1","","WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505"
"P116",17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,100,"1","","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505"
"P128",15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,120,"1","","MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505"
"P185",35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,120,"1","","TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505"
"P192",35,"TB","DeepHole","8/27/2020","11:15","Hypo",3.5,3.5,120,"1","","TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505"
