"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP"
"P1",0.654,1,"Run2_POP_2020_20210217.xlsx",116.605361915773,35,"HB","DeepHole","6/3/2020","10:40","point",7,7,120,"1","","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",29.1513404789434
"P10",0.747,2,"Run2_POP_2020_20210217.xlsx",267.192798934135,35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,140,"1","","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",57.2555997716003
"P100",0.359,1,"Run3_POP_2020_20210217.xlsx",65.6818005965622,15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,120,"1","","MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505",16.4204501491406
"P101",0.368,1,"Run1_POP_2020_20210215.xlsx",72.5235528607961,15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,80,"1","","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",27.1963323227985
"P102",0.3,1,"Run2_POP_2020_20210217.xlsx",51.9297996237517,15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,120,"1","","MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505",12.9824499059379
"P103",0.181,1,"Run2_POP_2020_20210217.xlsx",30.188579531236,15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,80,"1","","MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505",11.3207173242135
"P104",0.151,1,"Run2_POP_2020_20210217.xlsx",24.7075996759799,15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,120,"1","","MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505",6.17689991899497
"P105",0.164,1,"Run2_POP_2020_20210217.xlsx",27.0826909465909,3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,120,"1","","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",6.77067273664771
"P106",0.483,1,"Run3_POP_2020_20210217.xlsx",88.2269934734081,3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,100,"1","","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",26.4680980420224
"P107",0.113,1,"Run2_POP_2020_20210217.xlsx",17.7650251926555,3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,120,"1","","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",4.44125629816388
"P108",0.342,1,"Run2_POP_2020_20210217.xlsx",59.6031714211103,3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,120,"1","","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",14.9007928552776
"P109",0.071,1,"Run1_POP_2020_20210215.xlsx",16.8195691943381,3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,120,"1","","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",4.20489229858453
"P11",0.294,1,"Run3_POP_2020_20210217.xlsx",53.8637559433769,35,"MI","DeepHole","6/7/2020","10:47","point",10,10,120,"1","","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",13.4659389858442
"P110",0.115,1,"Run3_POP_2020_20210217.xlsx",21.3186791292203,15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,120,"1","","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",5.32966978230509
"P111",0.201,1,"Run2_POP_2020_20210217.xlsx",33.8425661014067,15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,120,"1","","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",8.46064152535167
"P112",0.12,1,"Run2_POP_2020_20210217.xlsx",19.0439204922153,15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,120,"1","","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",4.76098012305382
"P113",0.08,1,"Run1_POP_2020_20210215.xlsx",18.5075686993823,17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,120,"1","","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",4.62689217484557
"P114",0.094,1,"Run1_POP_2020_20210215.xlsx",21.1333457072288,17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,120,"1","","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",5.2833364268072
"P115",0.186,1,"Run2_POP_2020_20210217.xlsx",31.1020761737786,17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,100,"1","","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",9.33062285213359
"P116",0.469,1,"reruns_POP_2020_20210505.xlsx",80.5501086509964,17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,100,"1","","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",24.1650325952989
"P117",0.142,1,"Run1_POP_2020_20210215.xlsx",30.1360097341311,3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,120,"1","","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",7.53400243353277
"P118",0.325,1,"Run1_POP_2020_20210215.xlsx",64.4586663366961,3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,120,"1","","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",16.114666584174
"P119",0.094,1,"Run1_POP_2020_20210215.xlsx",21.1333457072288,3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,120,"1","","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",5.2833364268072
"P12",0.277,1,"Run2_POP_2020_20210217.xlsx",47.7277150680554,35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,120,"1","","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505",11.9319287670139
"P120",0.161,1,"Run2_POP_2020_20210217.xlsx",26.5345929610652,3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,120,"1","","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505",6.63364824026631
"P121",0.497,1,"Run2_POP_2020_20210217.xlsx",87.9215673399333,3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,120,"1","","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505",21.9803918349833
"P122",0.12,1,"Run3_POP_2020_20210217.xlsx",22.2277594871577,17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,120,"1","","PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505",5.55693987178942
"P123",0.387,1,"Run1_POP_2020_20210215.xlsx",76.0871073714449,17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,100,"1","","PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505",22.8261322114335
"P124",0.116,1,"Run3_POP_2020_20210217.xlsx",21.5004952008078,17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,120,"1","","PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505",5.37512380020195
"P125",0.705,1,"Run1_POP_2020_20210215.xlsx",135.729756549673,17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,120,"1","","PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505",33.9324391374182
"P126",0.193,1,"Run2_POP_2020_20210217.xlsx",32.3809714733384,17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,120,"1","","TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505",8.0952428683346
"P127",0.38,1,"Run1_POP_2020_20210215.xlsx",74.7742188675217,17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,100,"1","","TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505",22.4322656602565
"P128",0.315,1,"reruns_POP_2020_20210505.xlsx",53.1468157894057,15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,120,"1","","MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505",13.2867039473514
"P129",0.465,1,"Run1_POP_2020_20210215.xlsx",90.7164364151612,15,"MO","DeepHole","8/3/2020","8:50","Hypo",4,4,100,"1","","MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505",27.2149309245483
"P13",0.148,1,"Run1_POP_2020_20210215.xlsx",31.2613427374939,35,"TF","DeepHole","6/7/2020","11:45","point",7,7,120,"1","","TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505",7.81533568437347
"P130",0.167,1,"Run3_POP_2020_20210217.xlsx",30.7731148517686,15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,120,"1","","MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505",7.69327871294216
"P131",0.151,1,"Run1_POP_2020_20210215.xlsx",31.8240092391753,15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,60,"1","","MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505",15.9120046195876
"P132",0.308,1,"Run2_POP_2020_20210217.xlsx",53.39139425182,15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,120,"1","","MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505",13.347848562955
