"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP"
"P1",0.628,1,"Run3_POP_2019.xlsx",106.404815851777,3,"FE","DeepHole","5/8/2019","12:20","PML",0,0.5,140,"1","","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505",22.8010319682379
"P10",0.52,1,"Run2_POP_2019.xlsx",73.3975743796385,3,"WL","DeepHole","5/13/2019","9:25","Hypo",8,8,140,"1","","WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505",15.7280516527797
"P100",0.318,1,"Run3_POP_2019.xlsx",52.335333756591,17,"MO","Inlet3","6/17/2019","9:30","Surface",0,0,140,"1","","MO_Inlet3_20190617_930_Surface_0_Limno.Sample.20160505",11.2147143764124
"P101",0.261,1,"Run4_POP_2019.xlsx",44.9600968731333,3,"FE","DeepHole","6/18/2019","9:52","PML",0,1.5,140,"1","","FE_DeepHole_20190618_952_PML_1.5_Limno.Sample.20160505",9.63430647281429
"P102",0.225,1,"Run3_POP_2019.xlsx",36.1144891280352,3,"FE","DeepHole","6/18/2019","9:52","Hypo",8,8,140,"1","","FE_DeepHole_20190618_952_Hypo_8_Limno.Sample.20160505",7.73881909886469
"P103",0.126,1,"Run4_POP_2019.xlsx",21.8104192993543,3,"FE","Inlet1","6/18/2019","9:52","Surface",0,0,140,"1","","FE_Inlet1_20190618_952_Surface_0_Limno.Sample.20160505",4.67366127843307
"P104",0.257,1,"Run3_POP_2019.xlsx",41.6958550217318,3,"WL","DeepHole","6/18/2019","8:50","PML",0,1.5,140,"1","","WL_DeepHole_20190618_850_PML_1.5_Limno.Sample.20160505",8.9348260760854
"P105",0.661,1,"Run4_POP_2019.xlsx",113.551734128775,3,"WL","DeepHole","6/18/2019","8:50","Hypo",8,8,140,"1","","WL_DeepHole_20190618_850_Hypo_8_Limno.Sample.20160505",24.332514456166
"P106",0.162,1,"Run2_POP_2019.xlsx",24.5932556622661,17,"ME","DeepHole","6/19/2019","13:33","PML",0,1,140,"1","","ME_DeepHole_20190619_1333_PML_1_Limno.Sample.20160505",5.26998335619988
"P107",0.156,1,"Run2_POP_2019.xlsx",23.775306186556,17,"ME","DeepHole","6/19/2019","13:33","Hypo",2.5,2.5,140,"1","","ME_DeepHole_20190619_1333_Hypo_2.5_Limno.Sample.20160505",5.09470846854771
"P108",0.37,1,"Run3_POP_2019.xlsx",61.405053333848,17,"ME","Outlet","6/19/2019","13:33","Surface",0,0,140,"1","","ME_Outlet_20190619_1333_Surface_0_Limno.Sample.20160505",13.158225714396
"P109",0.233,1,"Run2_POP_2019.xlsx",34.2723244581696,17,"CR","DeepHole","6/20/2019","9:34","PML",0,3,140,"1","","CR_DeepHole_20190620_934_PML_3_Limno.Sample.20160505",7.34406952675062
"P11",0.189,1,"Run3_POP_2019.xlsx",29.8354524976265,34,"PA","DeepHole","5/15/2019","8:45","PML",0,1,140,"1","","PA_DeepHole_20190515_845_PML_1_Limno.Sample.20160505",6.3933112494914
"P110",0.259,1,"Run5_POP_2019.xlsx",44.0573761125223,17,"CR","DeepHole","6/20/2019","9:34","Hypo",0.34,11,140,"1","","CR_DeepHole_20190620_934_Hypo_11_Limno.Sample.20160505",9.4408663098262
"P111",0.467,1,"Run5_POP_2019.xlsx",80.0923238411158,17,"CR","Outlet","6/20/2019","9:34","Surface",0,0,140,"1","","CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505",17.1626408230962
"P112",0.142,1,"Run4_POP_2019.xlsx",24.55408478958,34,"PA","DeepHole","6/20/2019","8:38","PML",0,2,140,"1","","PA_DeepHole_20190620_838_PML_2_Limno.Sample.20160505",5.26158959776714
"P113",0.262,1,"Run4_POP_2019.xlsx",45.1315759662725,34,"PA","DeepHole","6/20/2019","8:38","Hypo",8,8,140,"1","","PA_DeepHole_20190620_838_Hypo_8_Limno.Sample.20160505",9.67105199277267
"P114",0.136,1,"Run2_POP_2019.xlsx",21.0488079341888,34,"PE","DeepHole","6/20/2019","10:00","PML",0,1,140,"1","","PE_DeepHole_20190620_1000_PML_1_Limno.Sample.20160505",4.51045884304045
"P115",0.404,1,"Run2_POP_2019.xlsx",57.5838845159089,34,"PE","DeepHole","6/20/2019","10:00","Hypo",9,9,140,"1","","PE_DeepHole_20190620_1000_Hypo_9_Limno.Sample.20160505",12.3394038248376
"P116",0.259,1,"Run3_POP_2019.xlsx",42.0446903900879,17,"HB","DeepHole","6/21/2019","9:40","PML",0,0.5,140,"1","","HB_DeepHole_20190621_940_PML_0.5_Limno.Sample.20160505",9.00957651216169
"P117",0.703,1,"Run6_POP_2019.xlsx",116.519588689473,17,"HB","DeepHole","6/21/2019","9:40","Hypo",4.5,4.5,140,"1","","HB_DeepHole_20190621_940_Hypo_4.5_Limno.Sample.20160505",24.9684832906013
"P118",0.225,1,"Run5_POP_2019.xlsx",38.1670481184253,17,"HB","Outlet","6/21/2019","9:40","Surface",0,0,140,"1","","HB_Outlet_20190621_940_Surface_0_Limno.Sample.20160505",8.17865316823398
"P119",0.246,1,"Run6_POP_2019.xlsx",41.5615292607162,3,"FE","DeepHole","6/25/2019","9:28","PML",0,1.5,140,"1","","FE_DeepHole_20190625_928_PML_1.5_Limno.Sample.20160505",8.90604198443918
"P12",0.404,1,"Run3_POP_2019.xlsx",67.3352545959007,34,"PA","DeepHole","5/15/2019","8:45","Hypo",6,6,140,"1","","PA_DeepHole_20190515_845_Hypo_6_Limno.Sample.20160505",14.428983127693
"P120",0.336,1,"Run4_POP_2019.xlsx",57.8210288585661,3,"FE","DeepHole","6/25/2019","9:28","Hypo",8,8,140,"1","","FE_DeepHole_20190625_928_Hypo_8_Limno.Sample.20160505",12.3902204696927
"P121",0.221,1,"Run6_POP_2019.xlsx",37.4609789637382,3,"WL","DeepHole","6/25/2019","8:35","PML",0,2,140,"1","","WL_DeepHole_20190625_835_PML_2_Limno.Sample.20160505",8.02735263508677
"P122",0.609,1,"Run6_POP_2019.xlsx",101.101519572836,3,"WL","DeepHole","6/25/2019","8:35","Hypo",8,8,140,"1","","WL_DeepHole_20190625_835_Hypo_8_Limno.Sample.20160505",21.6646113370362
"P123",0.15,1,"Run6_POP_2019.xlsx",25.8154161203209,34,"PA","DeepHole","6/27/2019","8:42","PML",0,2,140,"1","","PA_DeepHole_20190627_842_PML_2_Limno.Sample.20160505",5.53187488292591
"P124",0.499,1,"Run6_POP_2019.xlsx",83.0590982661328,34,"PA","DeepHole","6/27/2019","8:42","Hypo",8,8,140,"1","","PA_DeepHole_20190627_842_Hypo_8_Limno.Sample.20160505",17.7983781998856
"P125",0.271,1,"Run6_POP_2019.xlsx",45.6620795576941,34,"PE","DeepHole","6/27/2019","10:01","PML",0,1.5,140,"1","","PE_DeepHole_20190627_1001_PML_1.5_Limno.Sample.20160505",9.78473133379159
"P126",0.513,1,"Run6_POP_2019.xlsx",85.3554064324405,34,"PE","DeepHole","6/27/2019","10:01","Hypo",9,9,140,"1","","PE_DeepHole_20190627_1001_Hypo_9_Limno.Sample.20160505",18.290444235523
"P127",0.162,1,"Run2_POP_2019.xlsx",24.5932556622661,15,"CR","DeepHole","7/1/2019","9:55","PML",0,1.5,140,"1","","CR_DeepHole_20190701_955_PML_1.5_Limno.Sample.20160505",5.26998335619988
"P128",0.186,1,"Run3_POP_2019.xlsx",29.3121994450925,15,"CR","DeepHole","7/1/2019","9:55","Hypo",10,10,140,"1","","CR_DeepHole_20190701_955_Hypo_10_Limno.Sample.20160505",6.28118559537696
"P129",0.761,1,"Run1_POP_2019.xlsx",117.152933912249,15,"CR","Outlet","7/1/2019","9:55","Surface",0,0,140,"1","","CR_Outlet_20190701_955_Surface_0_Limno.Sample.20160505",25.1042001240534
"P13",0.213,1,"Run6_POP_2019.xlsx",36.1488028687053,34,"PE","DeepHole","5/15/2019","10:19","PML",0,1,140,"1","","PE_DeepHole_20190515_1019_PML_1_Limno.Sample.20160505",7.74617204329399
"P130",0.24,1,"Run1_POP_2019.xlsx",38.7256500557658,15,"HB","DeepHole","7/1/2019","8:40","PML",0,0.5,140,"1","","HB_DeepHole_20190701_840_PML_0.5_Limno.Sample.20160505",8.29835358337839
"P131",0.384,1,"Run1_POP_2019.xlsx",60.4022889719532,15,"HB","DeepHole","7/1/2019","8:40","Hypo",4.5,4.5,140,"1","","HB_DeepHole_20190701_840_Hypo_4.5_Limno.Sample.20160505",12.9433476368471
"P132",0.378,1,"Run1_POP_2019.xlsx",59.4990956837788,15,"HB","Outlet","7/1/2019","8:40","Surface",0,0,140,"1","","HB_Outlet_20190701_840_Surface_0_Limno.Sample.20160505",12.7498062179526
"P133",0.204,1,"Run3_POP_2019.xlsx",32.4517177602968,3,"FE","DeepHole","7/2/2019","9:08","PML",0,1.5,140,"1","","FE_DeepHole_20190702_908_PML_1.5_Limno.Sample.20160505",6.9539395200636
"P134",0.346,1,"Run1_POP_2019.xlsx",54.6820648135149,3,"FE","DeepHole","7/2/2019","9:08","Hypo",8,8,140,"1","","FE_DeepHole_20190702_908_Hypo_8_Limno.Sample.20160505",11.7175853171818
"P135",0.186,1,"Run1_POP_2019.xlsx",30.5969104621956,3,"WL","DeepHole","7/2/2019","8:30","PML",0,1.5,140,"1","","WL_DeepHole_20190702_830_PML_1.5_Limno.Sample.20160505",6.55648081332762
"P136",0.61,1,"Run6_POP_2019.xlsx",101.265541584715,3,"WL","DeepHole","7/2/2019","8:30","Hypo",8,8,140,"1","","WL_DeepHole_20190702_830_Hypo_8_Limno.Sample.20160505",21.6997589110103
"P137",0.141,1,"Run4_POP_2019.xlsx",24.3826056964409,17,"ME","DeepHole","7/3/2019","8:47","PML",0,1.5,140,"1","","ME_DeepHole_20190703_847_PML_1.5_Limno.Sample.20160505",5.22484407780876
"P138",0.231,1,"Run2_POP_2019.xlsx",33.9996746329329,17,"ME","DeepHole","7/3/2019","8:47","Hypo",3,3,140,"1","","ME_DeepHole_20190703_847_Hypo_3_Limno.Sample.20160505",7.2856445641999
"P139",0.374,1,"Run2_POP_2019.xlsx",53.4941371373582,17,"MO","DeepHole","7/3/2019","10:40","PML",0,1,140,"1","","MO_DeepHole_20190703_1040_PML_1_Limno.Sample.20160505",11.4630293865767
"P14",0.37,1,"Run6_POP_2019.xlsx",61.9002587337267,34,"PE","DeepHole","5/15/2019","10:19","Hypo",9,9,140,"1","","PE_DeepHole_20190515_1019_Hypo_9_Limno.Sample.20160505",13.2643411572271
"P140",0.799,1,"Run6_POP_2019.xlsx",132.265701829868,17,"MO","DeepHole","7/3/2019","10:40","Hypo",4,4,140,"1","","MO_DeepHole_20190703_1040_Hypo_4_Limno.Sample.20160505",28.3426503921146
"P141",0.271,1,"Run5_POP_2019.xlsx",46.1363154045565,17,"MO","Outlet","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Outlet_20190703_1040_Surface_0_Limno.Sample.20160505",9.8863533009764
"P142",0.283,1,"Run6_POP_2019.xlsx",47.6303437002435,17,"MO","Inlet1","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Inlet1_20190703_1040_Surface_0_Limno.Sample.20160505",10.2065022214808
"P143",0.289,1,"Run2_POP_2019.xlsx",41.9065195647977,17,"MO","Inlet2","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Inlet2_20190703_1040_Surface_0_Limno.Sample.20160505",8.97996847817093
"P144",0.512,1,"Run3_POP_2019.xlsx",86.1723644871268,17,"MO","Inlet3","7/3/2019","10:40","Surface",0,0,140,"1","","MO_Inlet3_20190703_1040_Surface_0_Limno.Sample.20160505",18.4655066758129
"P145",0.161,1,"Run5_POP_2019.xlsx",27.0793718942426,34,"PA","DeepHole","7/3/2019","9:15","PML",0,2,140,"1","","PA_DeepHole_20190703_915_PML_2_Limno.Sample.20160505",5.80272254876628
"P146",0.525,1,"Run5_POP_2019.xlsx",90.1405304192813,34,"PA","DeepHole","7/3/2019","9:15","Hypo",8,8,140,"1","","PA_DeepHole_20190703_915_Hypo_8_Limno.Sample.20160505",19.3158279469889
"P147",0.21,1,"Run6_POP_2019.xlsx",35.656736833068,34,"PE","DeepHole","7/3/2019","10:50","PML",0,1.5,140,"1","","PE_DeepHole_20190703_1050_PML_1.5_Limno.Sample.20160505",7.6407293213717
"P148",0.591,1,"Run6_POP_2019.xlsx",98.1491233590116,34,"PE","DeepHole","7/3/2019","10:50","Hypo",9,9,140,"1","","PE_DeepHole_20190703_1050_Hypo_9_Limno.Sample.20160505",21.0319550055025
"P149",0.579,1,"Run4_POP_2019.xlsx",99.4904484913683,3,"FE","DeepHole","7/9/2019","11:04","PML",0,1,140,"1","","FE_DeepHole_20190709_1104_PML_1_Limno.Sample.20160505",21.3193818195789
"P150",0.144,1,"Run4_POP_2019.xlsx",24.8970429758582,3,"FE","DeepHole","7/9/2019","11:04","Hypo",8,8,120,"1","","FE_DeepHole_20190709_1104_Hypo_8_Limno.Sample.20160505",6.22426074396455
"P151",0.639,1,"Run6_POP_2019.xlsx",106.022179929209,3,"WL","DeepHole","7/9/2019","9:10","PML",0,1.5,140,"1","","WL_DeepHole_20190709_910_PML_1.5_Limno.Sample.20160505",22.7190385562591
"P152",0.182,1,"Run4_POP_2019.xlsx",31.4132485151441,3,"WL","DeepHole","7/9/2019","9:10","Hypo",8,8,140,"1","","WL_DeepHole_20190709_910_Hypo_8_Limno.Sample.20160505",6.73141039610232
"P153",0.117,1,"Run5_POP_2019.xlsx",19.4565944901171,34,"PA","DeepHole","7/11/2019","8:30","PML",0,2,140,"1","","PA_DeepHole_20190711_830_PML_2_Limno.Sample.20160505",4.16927024788223
"P154",0.454,1,"Run6_POP_2019.xlsx",75.6781077315726,34,"PA","DeepHole","7/11/2019","8:30","Hypo",8,8,140,"1","","PA_DeepHole_20190711_830_Hypo_8_Limno.Sample.20160505",16.2167373710513
"P155",0.165,1,"Run5_POP_2019.xlsx",27.772351658254,34,"PE","DeepHole","7/11/2019","9:49","PML",0,2,140,"1","","PE_DeepHole_20190711_949_PML_2_Limno.Sample.20160505",5.95121821248301
"P156",0.361,1,"Run3_POP_2019.xlsx",59.8352941762459,34,"PE","DeepHole","7/11/2019","9:49","Hypo",9,9,140,"1","","PE_DeepHole_20190711_949_Hypo_9_Limno.Sample.20160505",12.8218487520527
"P157",0.606,1,"Run6_POP_2019.xlsx",100.609453537198,17,"MO","DeepHole","7/15/2019","9:44","PML",0,1,140,"1","","MO_DeepHole_20190715_944_PML_1_Limno.Sample.20160505",21.5591686151139
"P158",1.004,1,"Run5_POP_2019.xlsx",173.124857159648,17,"MO","DeepHole","7/15/2019","9:44","Hypo",4.5,4.5,140,"1","","MO_DeepHole_20190715_944_Hypo_4.5_Limno.Sample.20160505",37.0981836770675
"P159",0.321,1,"Run3_POP_2019.xlsx",52.8585868091251,17,"MO","Outlet","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Outlet_20190715_944_Surface_0_Limno.Sample.20160505",11.3268400305268
"P16",0.259,1,"Run6_POP_2019.xlsx",43.6938154151447,15,"CR","DeepHole","5/20/2019","9:37","Hypo",8,8,140,"1","","CR_DeepHole_20190520_937_Hypo_8_Limno.Sample.20160505",9.36296044610244
"P160",0.322,1,"Run3_POP_2019.xlsx",53.0330044933031,17,"MO","Inlet1","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet1_20190715_944_Surface_0_Limno.Sample.20160505",11.364215248565
"P161",0.402,1,"Run5_POP_2019.xlsx",68.8314026759303,17,"MO","Inlet2","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet2_20190715_944_Surface_0_Limno.Sample.20160505",14.7495862876994
"P162",0.52,1,"Run6_POP_2019.xlsx",86.5035605155943,17,"MO","Inlet3","7/15/2019","9:44","Surface",0,0,140,"1","","MO_Inlet3_20190715_944_Surface_0_Limno.Sample.20160505",18.5364772533416
"P163",0.284,1,"Run3_POP_2019.xlsx",46.4051324945384,3,"FE","DeepHole","7/16/2019","9:32","PML",0,1,140,"1","","FE_DeepHole_20190716_932_PML_1_Limno.Sample.20160505",9.94395696311536
"P164",0.658,1,"Run4_POP_2019.xlsx",113.037296849358,3,"FE","DeepHole","7/16/2019","9:32","Hypo",8,8,140,"1","","FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505",24.2222778962909
"P165",0.447,1,"Run4_POP_2019.xlsx",76.8552081970066,3,"FE","Inlet1","7/16/2019","9:32","Surface",0,0,140,"1","","FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505",16.4689731850728
