"sample","abs","dilution","runID","NO3","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"F1",0.001414314,1,"Nitrate_run1_20201110.csv",540.464378685457,35,"HB","DeepHole","6/3/2020","10:40","point",7,7,"","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505"
"F10",0.0008380497,1,"Nitrate_run1_20201110.csv",315.266899399008,35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,"","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505"
"F100",0.0004599049,1,"Nitrate_run2_20201111.csv",180.493031228617,15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,"","MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505"
"F101",0.0001599192,1,"Nitrate_run2_20201111.csv",65.8202603270945,15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,"","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505"
"F102",0.0002826768,1,"Nitrate_run2_20201111.csv",112.745677576052,15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,"","MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505"
"F103",0.00121164248485866,1,"Nitrate_reruns_20210419.csv",463.40601498288,15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,"","MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505"
"F103",0.001350073,2,"Nitrate_run2_20201111.csv",1041.53878610468,15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,"","MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505"
"F104",0.001663146,2,"Nitrate_run2_20201111.csv",1280.8898512018,15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,"","MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505"
"F105",0.0001448831,1,"Nitrate_run2_20201111.csv",60.0725488510062,3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,"","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505"
"F106",0.0001123578,1,"Nitrate_run2_20201111.csv",47.6394019529931,3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,"","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505"
"F107",0.0004271629,1,"Nitrate_run2_20201111.csv",167.977048417244,3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,"","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505"
"F108",0.0006607237,1,"Nitrate_run2_20201111.csv",257.258184517985,3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,"","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505"
"F109",0.001818758,2,"Nitrate_run2_20201111.csv",1399.85858354823,3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,"","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505"
"F11",0.0009044801,1,"Nitrate_run1_20201110.csv",341.227137831252,35,"MI","DeepHole","6/7/2020","10:47","point",10,10,"","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505"
"F110",0.0002415625,1,"Nitrate_run2_20201111.csv",97.0292927461206,15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,"","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505"
"F111",0.0001984771,1,"Nitrate_run2_20201111.csv",80.5594336715032,15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,"","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505"
"F112",0.0002593551,1,"Nitrate_run2_20201111.csv",103.830706091965,15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,"","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505"
"F113",0.0001942578,1,"Nitrate_run2_20201111.csv",78.9465607170098,17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,"","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505"
"F114",0.0001620058,1,"Nitrate_run2_20201111.csv",66.617885693114,17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,"","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505"
"F115",0.0005972494,1,"Nitrate_run2_20201111.csv",232.994448406449,17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,"","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505"
"F116",0.0004419897,1,"Nitrate_run2_20201111.csv",173.644752709824,17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,"","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505"
"F117",0.0005726247,1,"Nitrate_run2_20201111.csv",223.581391111989,3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,"","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505"
"F118",0.0006495932,1,"Nitrate_run2_20201111.csv",253.003430786326,3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,"","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505"
"F119",0.001868405,2,"Nitrate_run2_20201111.csv",1437.81478650689,3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,"","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505"
"F12",0.0002469697,1,"Nitrate_run1_20201110.csv",84.2796144732636,35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,"","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505"
"F120",0.0001418635,1,"Nitrate_run2_20201111.csv",58.9182741671988,3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,"","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505"
"F121",0.0001004616,1,"Nitrate_run2_20201111.csv",43.0919511338418,3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,"","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505"
