"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
3,"FE","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505",2019-05-08,"particulateP",22.801,NA,"1","Will Rerun before database entry. Outside of normal range.","Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505",2019-05-13,"particulateP",15.728,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190618_952_PML_1.5_Limno.Sample.20160505",2019-06-18,"particulateP",9.634,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190618_952_Hypo_8_Limno.Sample.20160505",2019-06-18,"particulateP",7.739,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190618_952_Surface_0_Limno.Sample.20160505",2019-06-18,"particulateP",4.674,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190618_850_PML_1.5_Limno.Sample.20160505",2019-06-18,"particulateP",8.935,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190618_850_Hypo_8_Limno.Sample.20160505",2019-06-18,"particulateP",24.333,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190625_928_PML_1.5_Limno.Sample.20160505",2019-06-25,"particulateP",8.906,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190625_928_Hypo_8_Limno.Sample.20160505",2019-06-25,"particulateP",12.39,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190625_835_PML_2_Limno.Sample.20160505",2019-06-25,"particulateP",8.027,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190625_835_Hypo_8_Limno.Sample.20160505",2019-06-25,"particulateP",21.665,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190702_908_PML_1.5_Limno.Sample.20160505",2019-07-02,"particulateP",6.954,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190702_908_Hypo_8_Limno.Sample.20160505",2019-07-02,"particulateP",11.718,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190702_830_PML_1.5_Limno.Sample.20160505",2019-07-02,"particulateP",6.556,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190702_830_Hypo_8_Limno.Sample.20160505",2019-07-02,"particulateP",21.7,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190709_1104_PML_1_Limno.Sample.20160505",2019-07-09,"particulateP",21.319,NA,"1","Will Rerun before database entry. Outside of normal range.","Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190709_1104_Hypo_8_Limno.Sample.20160505",2019-07-09,"particulateP",6.224,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190709_910_PML_1.5_Limno.Sample.20160505",2019-07-09,"particulateP",22.719,NA,"1","Will Rerun before database entry. Outside of normal range.","Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190709_910_Hypo_8_Limno.Sample.20160505",2019-07-09,"particulateP",6.731,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190716_932_PML_1_Limno.Sample.20160505",2019-07-16,"particulateP",9.944,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190716_932_Hypo_8_Limno.Sample.20160505",2019-07-16,"particulateP",24.222,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190716_932_Surface_0_Limno.Sample.20160505",2019-07-16,"particulateP",16.469,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190716_835_PML_2_Limno.Sample.20160505",2019-07-16,"particulateP",4.821,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190716_835_Hypo_8_Limno.Sample.20160505",2019-07-16,"particulateP",25.039,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190722_910_PML_2_Limno.Sample.20160505",2019-07-22,"particulateP",7.585,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190722_910_Hypo_8_Limno.Sample.20160505",2019-07-22,"particulateP",21.692,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190722_910_Surface_0_Limno.Sample.20160505",2019-07-22,"particulateP",3.461,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190722_830_PML_2.5_Limno.Sample.20160505",2019-07-22,"particulateP",8.364,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190722_830_Hypo_8_Limno.Sample.20160505",2019-07-22,"particulateP",26.304,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190508_1220_Hypo_8_Limno.Sample.20160505",2019-05-08,"particulateP",18.08,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190730_1001_PML_2_Limno.Sample.20160505",2019-07-30,"particulateP",10.369,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190730_1001_Hypo_8_Limno.Sample.20160505",2019-07-30,"particulateP",23.919,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190730_1001_Surface_0_Limno.Sample.20160505",2019-07-30,"particulateP",4.206,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190730_842_PML_2.5_Limno.Sample.20160505",2019-07-30,"particulateP",9.433,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190521_1008_PML_1_Limno.Sample.20160505",2019-05-21,"particulateP",22.764,NA,"1","Will Rerun before database entry. Outside of normal range.","Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190730_842_Hypo_8_Limno.Sample.20160505",2019-07-30,"particulateP",7.845,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190521_1008_Hypo_8_Limno.Sample.20160505",2019-05-21,"particulateP",5.971,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190521_1008_Surface_0_Limno.Sample.20160505",2019-05-21,"particulateP",4.012,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190806_937_PML_1.5_Limno.Sample.20160505",2019-08-06,"particulateP",3.693,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190806_937_Hypo_8_Limno.Sample.20160505",2019-08-06,"particulateP",22.749,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190806_834_PML_2_Limno.Sample.20160505",2019-08-06,"particulateP",5.608,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190806_834_Hypo_8_Limno.Sample.20160505",2019-08-06,"particulateP",17.422,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190521_856_PML_2_Limno.Sample.20160505",2019-05-21,"particulateP",7.286,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190521_856_Hypo_8_Limno.Sample.20160505",2019-05-21,"particulateP",27.557,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190813_954_Hypo_8_Limno.Sample.20160505",2019-08-13,"particulateP",21.044,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190813_847_PML_2.5_Limno.Sample.20160505",2019-08-13,"particulateP",5.617,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190813_847_Hypo_8_Limno.Sample.20160505",2019-08-13,"particulateP",19.653,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190820_840_PML_2.5_Limno.Sample.20160505",2019-08-20,"particulateP",5.562,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190820_840_Hypo_8_Limno.Sample.20160505",2019-08-20,"particulateP",21.568,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190820_1340_PML_2_Limno.Sample.20160505",2019-08-20,"particulateP",5.653,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190820_1340_Hypo_8_Limno.Sample.20160505",2019-08-20,"particulateP",26.389,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190827_1107_PML_2_Limno.Sample.20160505",2019-08-27,"particulateP",5.409,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190827_1107_Hypo_8_Limno.Sample.20160505",2019-08-27,"particulateP",15.073,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190827_1000_PML_2.5_Limno.Sample.20160505",2019-08-27,"particulateP",4.838,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190827_1000_Hypo_8_Limno.Sample.20160505",2019-08-27,"particulateP",21.343,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190508_1220_Surface_0_Limno.Sample.20160505",2019-05-08,"particulateP",2.796,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20191006_1040_Hypo_8_Limno.Sample.20160505",2019-10-06,"particulateP",13.405,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20191006_1040_Surface_0_Limno.Sample.20160505",2019-10-06,"particulateP",3.576,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20191006_900_PML_4.5_Limno.Sample.20160505",2019-10-06,"particulateP",6.137,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20191006_900_Hypo_8_Limno.Sample.20160505",2019-10-06,"particulateP",16.559,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190528_1058_PML_1.5_Limno.Sample.20160505",2019-05-28,"particulateP",10.295,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190508_1100_PML_1_Limno.Sample.20160505",2019-05-08,"particulateP",11.823,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190528_1058_Hypo_8_Limno.Sample.20160505",2019-05-28,"particulateP",6.234,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190528_1058_Surface_0_Limno.Sample.20160505",2019-05-28,"particulateP",2.387,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190528_915_PML_2_Limno.Sample.20160505",2019-05-28,"particulateP",5.321,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190528_915_Hypo_8_Limno.Sample.20160505",2019-05-28,"particulateP",20.329,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190508_1100_Hypo_8_Limno.Sample.20160505",2019-05-08,"particulateP",20.07,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190604_1011_PML_1.5_Limno.Sample.20160505",2019-06-04,"particulateP",9.869,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190604_1011_Hypo_8_Limno.Sample.20160505",2019-06-04,"particulateP",11.93,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190604_1011_Surface_0_Limno.Sample.20160505",2019-06-04,"particulateP",3.342,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190604_840_PML_2_Limno.Sample.20160505",2019-06-04,"particulateP",7.613,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190604_840_Hypo_8_Limno.Sample.20160505",2019-06-04,"particulateP",25.367,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190513_1020_Hypo_8_Limno.Sample.20160505",2019-05-13,"particulateP",8.673,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190513_1020_Surface_0_Limno.Sample.20160505",2019-05-13,"particulateP",4.3,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190611_1058_PML_1_Limno.Sample.20160505",2019-06-11,"particulateP",8.847,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190611_1058_Surface_0_Limno.Sample.20160505",2019-06-11,"particulateP",6.393,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190611_910_PML_1.5_Limno.Sample.20160505",2019-06-11,"particulateP",6.254,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190611_910_Hypo_8_Limno.Sample.20160505",2019-06-11,"particulateP",31.057,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190513_925_PML_1.5_Limno.Sample.20160505",2019-05-13,"particulateP",9.671,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",2020-07-21,"particulateP",6.771,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",2020-07-21,"particulateP",26.468,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",2020-07-22,"particulateP",4.441,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",2020-07-22,"particulateP",14.901,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",2020-07-22,"particulateP",4.205,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",2020-07-28,"particulateP",7.534,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",2020-07-28,"particulateP",16.115,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",2020-07-28,"particulateP",5.283,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505",2020-07-28,"particulateP",6.634,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505",2020-07-28,"particulateP",21.98,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",2020-08-04,"particulateP",5.94,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",2020-08-04,"particulateP",15.83,NA,"0",NA,"Nutrients.20110601","tableNutrients.20210217"
