"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","filterVol","sampleType","sampleAmount","POC","PON","metadataID","comments","flag","updateID"
3,"WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505","WL","DeepHole","2019-05-13","2019-05-13 9:25","Hypo",8,8,140,"filter",NA,1.114,0.129,NA,NA,NA,NA
34,"PA_DeepHole_20190515_845_PML_1_Limno.Sample.20160505","PA","DeepHole","2019-05-15","2019-05-15 8:45","PML",0,1,140,"filter",NA,0.586,0.086,NA,NA,NA,NA
17,"TU_DeepHole_20190725_840_PML_2_Limno.Sample.20160505","TU","DeepHole","2019-07-25","2019-07-25 8:40","PML",0,2,140,"filter",NA,1.079,0.136,NA,NA,NA,NA
34,"PA_DeepHole_20190725_838_PML_2.5_Limno.Sample.20160505","PA","DeepHole","2019-07-25","2019-07-25 8:38","PML",0,2.5,140,"filter",NA,0.6,0.057,NA,NA,NA,NA
34,"PA_DeepHole_20190725_838_Hypo_7.5_Limno.Sample.20160505","PA","DeepHole","2019-07-25","2019-07-25 8:38","Hypo",7.5,7.5,140,"filter",NA,1.086,0.129,NA,NA,NA,NA
34,"PE_DeepHole_20190725_1018_PML_2_Limno.Sample.20160505","PE","DeepHole","2019-07-25","2019-07-25 10:18","PML",0,2,140,"filter",NA,1.021,0.15,NA,NA,NA,NA
34,"PE_DeepHole_20190725_1018_Hypo_9_Limno.Sample.20160505","PE","DeepHole","2019-07-25","2019-07-25 10:18","Hypo",9,9,140,"filter",NA,0.864,0.114,NA,NA,NA,NA
3,"ME_Outlet_20190730_1041_Surface_0_Limno.Sample.20160505","ME","Outlet","2019-07-30","2019-07-30 10:41","Surface",0,0,140,"filter",NA,0.65,0.086,NA,NA,NA,NA
34,"PA_DeepHole_20190815_825_PML_3.5_Limno.Sample.20160505","PA","DeepHole","2019-08-15","2019-08-15 8:25","PML",0,3.5,140,"filter",NA,0.829,0.071,NA,NA,NA,NA
34,"PA_DeepHole_20190815_825_Hypo_8_Limno.Sample.20160505","PA","DeepHole","2019-08-15","2019-08-15 8:25","Hypo",8,8,140,"filter",NA,1,0.121,NA,NA,NA,NA
34,"PE_DeepHole_20190815_935_PML_2.5_Limno.Sample.20160505","PE","DeepHole","2019-08-15","2019-08-15 9:35","PML",0,2.5,140,"filter",NA,0.564,0.079,NA,NA,NA,NA
34,"PE_DeepHole_20190815_935_Hypo_10_Limno.Sample.20160505","PE","DeepHole","2019-08-15","2019-08-15 9:35","Hypo",10,10,140,"filter",NA,0.979,0.136,NA,NA,NA,NA
3,"WL_DeepHole_20190820_840_PML_2.5_Limno.Sample.20160505","WL","DeepHole","2019-08-20","2019-08-20 8:40","PML",0,2.5,140,"filter",NA,0.507,0.086,NA,NA,NA,NA
3,"WL_DeepHole_20190820_840_Hypo_8_Limno.Sample.20160505","WL","DeepHole","2019-08-20","2019-08-20 8:40","Hypo",8,8,140,"filter",NA,1.636,0.157,NA,NA,NA,NA
34,"PA_DeepHole_20190829_855_PML_3.5_Limno.Sample.20160505","PA","DeepHole","2019-08-29","2019-08-29 8:55","PML",0,3.5,140,"filter",NA,0.636,0.071,NA,NA,NA,NA
34,"PA_DeepHole_20190829_855_Hypo_7.5_Limno.Sample.20160505","PA","DeepHole","2019-08-29","2019-08-29 8:55","Hypo",7.5,7.5,60,"filter",NA,2.617,0.35,NA,NA,NA,NA
34,"PE_DeepHole_20190829_1110_PML_3_Limno.Sample.20160505","PE","DeepHole","2019-08-29","2019-08-29 11:10","PML",0,3,140,"filter",NA,0.593,0.079,NA,NA,NA,NA
34,"PE_DeepHole_20190829_1110_Hypo_9_Limno.Sample.20160505","PE","DeepHole","2019-08-29","2019-08-29 11:10","Hypo",9,9,140,"filter",NA,0.886,0.129,NA,NA,NA,NA
