"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON"
"P1","RN_20210201_run1b_013","p1a1",0.02467830502113,0.1461191333185,35,"HB","DeepHole","6/3/2020","10:40","point",7,7,120,"1","","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",1.218,0.206
"P2","RN_20210201_run1b_014","p1a2",0.007766780019147,0.04192963999613,3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,140,"1","","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505",0.299,0.055
"P3","RN_20210201_run1b_015","p1a3",0.02024163507568,0.1347637970552,3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,120,"1","","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505",1.123,0.169
"P4","RN_20210201_run1b_016","p1a4",0.0117480586858,0.05740763555887,3,"FE","DeepHole","6/4/2020","10:45","PML",0,0.5,140,"1","","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505",0.41,0.084
"P5","RN_20210201_run1b_017","p1a5",0.01404538521656,0.1072696863242,3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,140,"1","","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505",0.766,0.1
"P6","RN_20210211_run5_046","P2G5",0.005912391004277,0.05230711774008,3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,140,"1","","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505",0.374,0.042
"P7","RN_20210211_run5_045","P2G4",0.02158465303999,0.1714957241076,35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,140,"1","","BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505",1.225,0.154
"P8","RN_20210201_run1b_018","p1a6",0.02423091183285,0.2199742140345,35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,140,"1","","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",1.571,0.173
"P9","RN_20210201_run1b_019","p1a7",0.01405871536742,0.08996119149573,35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,140,"1","","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",0.643,0.1
"P10","RN_20210201_run1b_020","p1a8",0.03685612682542,0.2291691613489,35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,140,"1","","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",1.637,0.263
"P11","RN_20210211_run5_051","P2G10",0.009395627785765,0.07597373318081,35,"MI","DeepHole","6/7/2020","10:47","point",10,10,120,"1","","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",0.633,0.078
"P12","RN_20210211_run5_050","P2G9",0.01956358712765,0.1433566357006,35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,120,"1","","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505",1.195,0.163
"P13","RN_20210211_run5_049","P2G8",0.007320980000506,0.05526427032682,35,"TF","DeepHole","6/7/2020","11:45","point",7,7,120,"1","","TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505",0.461,0.061
"P14","RN_20210211_run5_048","P2G7",0.007769079683692,0.04602179596629,3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,120,"1","","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505",0.384,0.065
"P15","RN_20210211_run5_047","P2G6",0.009530412551304,0.07649087435798,3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,100,"1","","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505",0.765,0.095
