"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
3,"FE","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505",2019-05-08,"POP",22.8010319682379,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505",2019-05-13,"POP",15.7280516527797,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"MO","MO_Inlet3_20190617_930_Surface_0_Limno.Sample.20160505",2019-06-17,"POP",11.2147143764124,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190618_952_PML_1.5_Limno.Sample.20160505",2019-06-18,"POP",9.63430647281429,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190618_952_Hypo_8_Limno.Sample.20160505",2019-06-18,"POP",7.73881909886469,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_Inlet1_20190618_952_Surface_0_Limno.Sample.20160505",2019-06-18,"POP",4.67366127843307,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190618_850_PML_1.5_Limno.Sample.20160505",2019-06-18,"POP",8.9348260760854,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
3,"WL","WL_DeepHole_20190618_850_Hypo_8_Limno.Sample.20160505",2019-06-18,"POP",24.332514456166,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"ME","ME_DeepHole_20190619_1333_PML_1_Limno.Sample.20160505",2019-06-19,"POP",5.26998335619988,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"ME","ME_DeepHole_20190619_1333_Hypo_2.5_Limno.Sample.20160505",2019-06-19,"POP",5.09470846854771,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"ME","ME_Outlet_20190619_1333_Surface_0_Limno.Sample.20160505",2019-06-19,"POP",13.158225714396,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"CR","CR_DeepHole_20190620_934_PML_3_Limno.Sample.20160505",2019-06-20,"POP",7.34406952675062,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
34,"PA","PA_DeepHole_20190515_845_PML_1_Limno.Sample.20160505",2019-05-15,"POP",6.3933112494914,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"CR","CR_DeepHole_20190620_934_Hypo_11_Limno.Sample.20160505",2019-06-20,"POP",9.4408663098262,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"CR","CR_Outlet_20190620_934_Surface_0_Limno.Sample.20160505",2019-06-20,"POP",17.1626408230962,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
34,"PA","PA_DeepHole_20190620_838_PML_2_Limno.Sample.20160505",2019-06-20,"POP",5.26158959776714,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
34,"PA","PA_DeepHole_20190620_838_Hypo_8_Limno.Sample.20160505",2019-06-20,"POP",9.67105199277267,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
34,"PE","PE_DeepHole_20190620_1000_PML_1_Limno.Sample.20160505",2019-06-20,"POP",4.51045884304045,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
34,"PE","PE_DeepHole_20190620_1000_Hypo_9_Limno.Sample.20160505",2019-06-20,"POP",12.3394038248376,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"HB","HB_DeepHole_20190621_940_PML_0.5_Limno.Sample.20160505",2019-06-21,"POP",9.00957651216169,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"HB","HB_DeepHole_20190621_940_Hypo_4.5_Limno.Sample.20160505",2019-06-21,"POP",24.9684832906013,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
17,"HB","HB_Outlet_20190621_940_Surface_0_Limno.Sample.20160505",2019-06-21,"POP",8.17865316823398,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
3,"FE","FE_DeepHole_20190625_928_PML_1.5_Limno.Sample.20160505",2019-06-25,"POP",8.90604198443918,NA,0,NA,"Nutrients.20110601","tableNutrients.20210217"
