"projectID","lakeID","sampleID","dateSample","QCcode","flag","comments","metadataID","updateID","parameter","parameterValue"
3,"WL","WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505",2019-05-13,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.114
34,"PA","PA_DeepHole_20190515_845_PML_1_Limno.Sample.20160505",2019-05-15,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.586
17,"TU","TU_DeepHole_20190725_840_PML_2_Limno.Sample.20160505",2019-07-25,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.079
34,"PA","PA_DeepHole_20190725_838_PML_2.5_Limno.Sample.20160505",2019-07-25,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.6
34,"PA","PA_DeepHole_20190725_838_Hypo_7.5_Limno.Sample.20160505",2019-07-25,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.086
34,"PE","PE_DeepHole_20190725_1018_PML_2_Limno.Sample.20160505",2019-07-25,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.021
34,"PE","PE_DeepHole_20190725_1018_Hypo_9_Limno.Sample.20160505",2019-07-25,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.864
3,"ME","ME_Outlet_20190730_1041_Surface_0_Limno.Sample.20160505",2019-07-30,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.65
34,"PA","PA_DeepHole_20190815_825_PML_3.5_Limno.Sample.20160505",2019-08-15,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.829
34,"PA","PA_DeepHole_20190815_825_Hypo_8_Limno.Sample.20160505",2019-08-15,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1
34,"PE","PE_DeepHole_20190815_935_PML_2.5_Limno.Sample.20160505",2019-08-15,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.564
34,"PE","PE_DeepHole_20190815_935_Hypo_10_Limno.Sample.20160505",2019-08-15,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.979
3,"WL","WL_DeepHole_20190820_840_PML_2.5_Limno.Sample.20160505",2019-08-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.507
3,"WL","WL_DeepHole_20190820_840_Hypo_8_Limno.Sample.20160505",2019-08-20,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.636
34,"PA","PA_DeepHole_20190829_855_PML_3.5_Limno.Sample.20160505",2019-08-29,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.636
34,"PA","PA_DeepHole_20190829_855_Hypo_7.5_Limno.Sample.20160505",2019-08-29,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",2.617
34,"PE","PE_DeepHole_20190829_1110_PML_3_Limno.Sample.20160505",2019-08-29,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.593
34,"PE","PE_DeepHole_20190829_1110_Hypo_9_Limno.Sample.20160505",2019-08-29,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.886
37,"DS","DS_DeepHole_20190830_950_Surface_0_fishScapesLimno.20190319",2019-08-30,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.15
3,"FE","FE_Inlet1_20191006_1040_Surface_0_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.393
15,"HB","HB_DeepHole_20191006_1047_PML_4_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.679
15,"HB","HB_DeepHole_20191006_1047_Hypo_8_Limno.Sample.20160505",2019-10-06,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.621
33,"HB","HB_DeepHole_20190531_1150_PML_0.75_Limno.Sample.20160505",2019-05-31,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",0.543
15,"MO","MO_Inlet3_20190603_1010_Surface_0_Limno.Sample.20160505",2019-06-03,NA,NA,NA,"Iso.POC.CEST.20121206","pocpon.20210501","POC",1.807
