"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POC","PON","ID"
"P1","RN_20210201_run1b_013","p1a1",0.02467830502113,0.1461191333185,35,"HB","DeepHole","6/3/2020","10:40","point",7,7,120,"1","","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",1217.659,205.653,1
"P10","RN_20210201_run1b_020","p1a8",0.03685612682542,0.2291691613489,35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,140,"1","","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",1636.923,263.258,10
"P130","RN_20210201_run1b_035","p1b10",0.004516306045096,0.0280067162618,15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,120,"1","","MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505",233.389,37.636,130
"P131","RN_20210201_run1b_034","p1b9",0.01128641889879,0.1034787981922,15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,60,"1","","MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505",1724.647,188.107,131
"P132","RN_20210201_run1b_033","p1b8",0.01407287865271,0.1391065228014,15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,120,"1","","MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505",1159.221,117.274,132
"P133","RN_20210201_run1b_032","p1b7",0.007365167567733,0.03471031820968,3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,120,"1","","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505",289.253,61.376,133
"P134","RN_20210201_run1b_031","p1b6",0.01138322911942,0.06496980743034,3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,120,"1","","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",541.415,94.86,134
"P135","RN_20210201_run1b_030","p1b5",0.00671151112324,0.06385003039361,3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,120,"1","","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",532.084,55.929,135
"P136","RN_20210201_run1b_029","p1b4",0.005913035086657,0.03371267805096,3,"WL","DeepHole","8/4/2020","8:45","PML",0,2.5,120,"1","","WL_DeepHole_20200804_0845_PML_2.5_Limno.Sample.20160505",280.939,49.275,136
"P137","RN_20210201_run1b_028","p1b3",0.01547575206068,0.09546903468635,3,"WL","DeepHole","8/4/2020","8:45","Hypo",8,8,120,"1","","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",795.575,128.965,137
