"pocID","runID","trayLoc","PON.mg","POC.mg","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","ID","parameter","parameterValue","QCcode","flag","metadataID","updateID"
"P1","RN_20210201_run1b_013","p1a1",0.02467830502113,0.1461191333185,35,"HB","DeepHole",2020-06-03,"10:40","point",7,7,120,"1","","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",1,"PON",205.653,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P1","RN_20210201_run1b_013","p1a1",0.02467830502113,0.1461191333185,35,"HB","DeepHole",2020-06-03,"10:40","point",7,7,120,"1","","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",1,"POC",1217.659,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P2","RN_20210201_run1b_014","p1a2",0.007766780019147,0.04192963999613,3,"WL","DeepHole",2020-06-04,"9:15","PML",0,1,140,"1","","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505",2,"PON",55.477,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P2","RN_20210201_run1b_014","p1a2",0.007766780019147,0.04192963999613,3,"WL","DeepHole",2020-06-04,"9:15","PML",0,1,140,"1","","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505",2,"POC",299.497,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P3","RN_20210201_run1b_015","p1a3",0.02024163507568,0.1347637970552,3,"WL","DeepHole",2020-06-04,"9:15","Hypo",8,8,120,"1","","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505",3,"PON",168.68,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P3","RN_20210201_run1b_015","p1a3",0.02024163507568,0.1347637970552,3,"WL","DeepHole",2020-06-04,"9:15","Hypo",8,8,120,"1","","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505",3,"POC",1123.032,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P4","RN_20210201_run1b_016","p1a4",0.0117480586858,0.05740763555887,3,"FE","DeepHole",2020-06-04,"10:45","PML",0,0.5,140,"1","","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505",4,"PON",83.915,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P4","RN_20210201_run1b_016","p1a4",0.0117480586858,0.05740763555887,3,"FE","DeepHole",2020-06-04,"10:45","PML",0,0.5,140,"1","","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505",4,"POC",410.055,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P5","RN_20210201_run1b_017","p1a5",0.01404538521656,0.1072696863242,3,"FE","DeepHole",2020-06-04,"10:45","Hypo",8,8,140,"1","","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505",5,"PON",100.324,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P5","RN_20210201_run1b_017","p1a5",0.01404538521656,0.1072696863242,3,"FE","DeepHole",2020-06-04,"10:45","Hypo",8,8,140,"1","","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505",5,"POC",766.212,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P8","RN_20210201_run1b_018","p1a6",0.02423091183285,0.2199742140345,35,"CB","DeepHole",2020-06-06,"10:10","point",5.5,5.5,140,"1","","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",8,"PON",173.078,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P8","RN_20210201_run1b_018","p1a6",0.02423091183285,0.2199742140345,35,"CB","DeepHole",2020-06-06,"10:10","point",5.5,5.5,140,"1","","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505",8,"POC",1571.244,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P9","RN_20210201_run1b_019","p1a7",0.01405871536742,0.08996119149573,35,"NG","DeepHole",2020-06-06,"11:35","point",5.5,5.5,140,"1","","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",9,"PON",100.419,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P9","RN_20210201_run1b_019","p1a7",0.01405871536742,0.08996119149573,35,"NG","DeepHole",2020-06-06,"11:35","point",5.5,5.5,140,"1","","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505",9,"POC",642.58,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P10","RN_20210201_run1b_020","p1a8",0.03685612682542,0.2291691613489,35,"WA","DeepHole",2020-06-06,"11:00","point",5.5,5.5,140,"1","","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",10,"PON",263.258,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
"P10","RN_20210201_run1b_020","p1a8",0.03685612682542,0.2291691613489,35,"WA","DeepHole",2020-06-06,"11:00","point",5.5,5.5,140,"1","","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",10,"POC",1636.923,NA,NA,"Iso.POC.CEST.20111214","tableNutrients.20210217"
