"projectID","lakeID","sampleID","dateSample","parameter","parameterValue","QCcode","flag","comments","metadataID","updateID"
37,"AQ","AQ_DeepHole_20190823_1330_Surface_0_fishScapesLimno.20190319",2019-08-23,"PON",98,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"AV","AV_DeepHole_20190818_1150_Surface_0_fishScapesLimno.20190319",2019-08-18,"PON",117,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BA","BA_DeepHole_20190613_832_Hypo_8_Limno.Sample.20160505",2019-06-13,"PON",51,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BA","BA_DeepHole_20190613_832_PML_2_Limno.Sample.20160505",2019-06-13,"PON",70,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BA","BA_DeepHole_20190725_925_Hypo_6.5_Limno.Sample.20160505",2019-07-25,"PON",88,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BA","BA_DeepHole_20190725_925_PML_3_Limno.Sample.20160505",2019-07-25,"PON",122,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"BK","BK_DeepHole_20190901_1215_Surface_0_fishScapesLimno.20190319",2019-09-01,"PON",101,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"BO","BO_DeepHole_20190610_1105_Hypo_2.5_Limno.Sample.20160505",2019-06-10,"PON",364,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"BO","BO_DeepHole_20190610_1105_PML_0.5_Limno.Sample.20160505",2019-06-10,"PON",86,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BO","BO_DeepHole_20190719_930_Hypo_2_Limno.Sample.20160505",2019-07-19,"PON",197,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BO","BO_DeepHole_20190719_930_PML_0.5_Limno.Sample.20160505",2019-07-19,"PON",147,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
37,"BOT","BOT_DeepHole_20190820_1310_Surface_0_fishScapesLimno.20190319",2019-08-20,"PON",275,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BR","BR_DeepHole_20190613_1056_Hypo_4_Limno.Sample.20160505",2019-06-13,"PON",358,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BR","BR_DeepHole_20190613_1056_PML_2_Limno.Sample.20160505",2019-06-13,"PON",136,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BR","BR_DeepHole_20190722_1020_Hypo_4.5_Limno.Sample.20160505",2019-07-22,"PON",273,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"BR","BR_DeepHole_20190722_1020_PML_2.5_Limno.Sample.20160505",2019-07-22,"PON",131,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
33,"BR","BR_DeepHole_20190731_1205_Hypo_4_Limno.Sample.20160505",2019-07-31,"PON",333,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
33,"BR","BR_DeepHole_20190731_1205_PML_2.5_Limno.Sample.20160505",2019-07-31,"PON",119,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
34,"BY","BY_DeepHole_20190807_1200_Hypo_7.5_Limno.Sample.20160505",2019-08-07,"PON",387,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
34,"BY","BY_DeepHole_20190807_1200_PML_3.5_Limno.Sample.20160505",2019-08-07,"PON",121,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
33,"CB","CB_DeepHole_20190531_1045_Hypo_2.5_Limno.Sample.20160505",2019-05-31,"PON",83,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
33,"CB","CB_DeepHole_20190531_1045_PML_0.75_Limno.Sample.20160505",2019-05-31,"PON",77,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CB","CB_DeepHole_20190614_847_Hypo_5_Limno.Sample.20160505",2019-06-14,"PON",114,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CB","CB_DeepHole_20190614_847_PML_0.5_Limno.Sample.20160505",2019-06-14,"PON",94,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CB","CB_DeepHole_20190729_1002_Hypo_5_Limno.Sample.20160505",2019-07-29,"PON",94,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CB","CB_DeepHole_20190729_1002_PML_1_Limno.Sample.20160505",2019-07-29,"PON",100,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190520_937_Hypo_8_Limno.Sample.20160505",2019-05-20,"PON",104,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190520_937_PML_3.5_Limno.Sample.20160505",2019-05-20,"PON",109,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190607_933_Hypo_8_Limno.Sample.20160505",2019-06-07,"PON",83,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190607_933_PML_1_Limno.Sample.20160505",2019-06-07,"PON",61,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CR","CR_DeepHole_20190620_934_Hypo_11_Limno.Sample.20160505",2019-06-20,"PON",83,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CR","CR_DeepHole_20190620_934_PML_3_Limno.Sample.20160505",2019-06-20,"PON",83,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190701_955_Hypo_10_Limno.Sample.20160505",2019-07-01,"PON",79,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
15,"CR","CR_DeepHole_20190701_955_PML_1.5_Limno.Sample.20160505",2019-07-01,"PON",85,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"CR","CR_DeepHole_20190718_833_Hypo_10_Limno.Sample.20160505",2019-07-18,"PON",107,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
3,"CR","CR_DeepHole_20190718_833_PML_3_Limno.Sample.20160505",2019-07-18,"PON",79,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
17,"CR","CR_DeepHole_20190731_1050_Hypo_9_Limno.Sample.20160505",2019-07-31,"PON",114,NA,0,NA,"Iso.POC.CEST.20111214","pocForBella.20200312"
