"sample","abs","df","runID","POPinBottle","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID","POP","flag"
"P1",NA,1,NA,NA,3,"FE","DeepHole","5/8/2019","12:20","PML",0,0.5,140,1,"failed QA/QC range check; rerun within 20% of original reading; average reported","FE_DeepHole_20190508_1220_PML_0.5_Limno.Sample.20160505",23.5007822408882,"1"
"P10",0.52,1,"Run2_POP_2019.xlsx",73.3975743796385,3,"WL","DeepHole","5/13/2019","9:25","Hypo",8,8,140,1,NA,"WL_DeepHole_20190513_925_Hypo_8_Limno.Sample.20160505",15.7280516527797,NA
"P100",0.318,1,"Run3_POP_2019.xlsx",52.335333756591,17,"MO","Inlet3","6/17/2019","9:30","Surface",0,0,140,1,NA,"MO_Inlet3_20190617_930_Surface_0_Limno.Sample.20160505",11.2147143764124,NA
"P101",0.261,1,"Run4_POP_2019.xlsx",44.9600968731333,3,"FE","DeepHole","6/18/2019","9:52","PML",0,1.5,140,1,NA,"FE_DeepHole_20190618_952_PML_1.5_Limno.Sample.20160505",9.63430647281428,NA
"P102",0.225,1,"Run3_POP_2019.xlsx",36.1144891280352,3,"FE","DeepHole","6/18/2019","9:52","Hypo",8,8,140,1,NA,"FE_DeepHole_20190618_952_Hypo_8_Limno.Sample.20160505",7.73881909886469,NA
"P103",0.126,1,"Run4_POP_2019.xlsx",21.8104192993543,3,"FE","Inlet1","6/18/2019","9:52","Surface",0,0,140,1,NA,"FE_Inlet1_20190618_952_Surface_0_Limno.Sample.20160505",4.67366127843306,NA
"P104",0.257,1,"Run3_POP_2019.xlsx",41.6958550217318,3,"WL","DeepHole","6/18/2019","8:50","PML",0,1.5,140,1,NA,"WL_DeepHole_20190618_850_PML_1.5_Limno.Sample.20160505",8.93482607608538,NA
"P105",0.661,1,"Run4_POP_2019.xlsx",113.551734128775,3,"WL","DeepHole","6/18/2019","8:50","Hypo",8,8,140,1,NA,"WL_DeepHole_20190618_850_Hypo_8_Limno.Sample.20160505",24.3325144561661,NA
"P106",0.162,1,"Run2_POP_2019.xlsx",24.5932556622661,17,"ME","DeepHole","6/19/2019","13:33","PML",0,1,140,1,NA,"ME_DeepHole_20190619_1333_PML_1_Limno.Sample.20160505",5.26998335619988,NA
"P107",0.156,1,"Run2_POP_2019.xlsx",23.775306186556,17,"ME","DeepHole","6/19/2019","13:33","Hypo",2.5,2.5,140,1,NA,"ME_DeepHole_20190619_1333_Hypo_2.5_Limno.Sample.20160505",5.09470846854771,NA
