"sample","abs","conc","df","runID","SRP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","ID","flag"
"F1",0.531,NA,1,"SRP_run1_20201110.xlsx",85.1233844372818,35,"HB","DeepHole","6/3/2020","10:40","point",7,7,NA,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",1,NA
"F10",0.29,NA,1,"SRP_run1_20201110.xlsx",46.483859868984,35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,NA,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",10,NA
"F100",0.022,NA,1,"SRP_run2_20201111.xlsx",4.06945125028009,15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,NA,"MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505",100,NA
"F101",0.071,NA,1,"SRP_run2_20201111.xlsx",11.8354215357487,15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,NA,"MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",101,NA
"F102",0.046,NA,1,"SRP_run2_20201111.xlsx",7.87319179826472,15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,NA,"MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505",102,NA
"F103",0.112,NA,1,"SRP_run2_20201111.xlsx",18.3334783052225,15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,NA,"MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505",103,NA
"F104",0.201,NA,1,"SRP_run2_20201111.xlsx",32.4390161706655,15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,NA,"MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505",104,NA
"F105",0.016,NA,1,"SRP_run2_20201111.xlsx",3.11851611328393,3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,NA,"WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",105,NA
"F106",0.148,NA,1,"SRP_run2_20201111.xlsx",24.0390891271994,3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,NA,"WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",106,NA
"F107",0.028,NA,1,"SRP_run2_20201111.xlsx",5.02038638727625,3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,NA,"FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",107,NA
"F108",0.388,NA,1,"SRP_run2_20201111.xlsx",62.0764946070457,3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,NA,"FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",108,NA
"F109",0.284,NA,1,"SRP_run2_20201111.xlsx",45.5936188991123,3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,NA,"FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",109,NA
"F11",0.268,NA,1,"SRP_run1_20201110.xlsx",42.956600364824,35,"MI","DeepHole","6/7/2020","10:47","point",10,10,NA,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",11,NA
"F110",0.007,NA,1,"SRP_run2_20201111.xlsx",1.69211340778969,15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,NA,"CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505",110,NA
"F111",0.01,NA,1,"SRP_run2_20201111.xlsx",2.16758097628777,15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,NA,"CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505",111,NA
"F112",0.008,NA,1,"SRP_run2_20201111.xlsx",1.85060259728905,15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,NA,"CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505",112,NA
"F113",0.005,NA,1,"SRP_run2_20201111.xlsx",1.37513502879097,17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,NA,"BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505",113,NA
"F114",0.013,NA,1,"SRP_run2_20201111.xlsx",2.64304854478585,17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,NA,"BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505",114,NA
"F115",0.012,NA,1,"SRP_run2_20201111.xlsx",2.48455935528649,17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,NA,"BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505",115,NA
"F116",0.072,NA,1,"SRP_run2_20201111.xlsx",11.9939107252481,17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,NA,"BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505",116,NA
"F117",0.018,NA,1,"SRP_run2_20201111.xlsx",3.43549449228265,3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,NA,"FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505",117,NA
"F118",0.417,NA,1,"SRP_run2_20201111.xlsx",66.6726811025272,3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,NA,"FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505",118,NA
"F119",0.137,NA,1,"SRP_run2_20201111.xlsx",22.2957080427065,3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,NA,"FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505",119,NA
"F12",0.034,NA,1,"SRP_run1_20201110.xlsx",5.43938563875896,35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,NA,"PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505",12,NA
"F120",0.01,NA,1,"SRP_run2_20201111.xlsx",2.16758097628777,3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,NA,"WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505",120,NA
"F121",0.21,NA,1,"SRP_run2_20201111.xlsx",33.8654188761597,3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,NA,"WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505",121,NA
"F122",0.006,NA,1,"SRP_run2_20201111.xlsx",1.53362421829033,17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,NA,"PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505",122,NA
"F123",0.022,NA,1,"SRP_run2_20201111.xlsx",4.06945125028009,17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,NA,"PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505",123,NA
"F124",0.003,NA,1,"SRP_run2_20201111.xlsx",1.05815664979225,17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,NA,"PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505",124,NA
"F125",1.025,NA,1,"SRP_run2_20201111.xlsx",163.034108318138,17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,NA,"PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505",125,NA
"F126",0.007,NA,1,"SRP_run2_20201111.xlsx",1.69211340778969,17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,NA,"TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505",126,NA
"F127",0.012,NA,1,"SRP_run2_20201111.xlsx",2.48455935528649,17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,NA,"TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505",127,NA
"F128",0.02,NA,1,"SRP_run2_20201111.xlsx",3.75247287128137,15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,NA,"MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505",128,NA
