"sample","abs","dilution","runID","TN","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID","flag"
"U1",0.007751295,1,"TN_run2_202011102.csv",1541.68901077334,35,"HB","DeepHole","6/3/2020","10:40","point",7,7,NA,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505",NA
"U10",0.00390609,1,"TN_run2_202011102.csv",188.567822489399,35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,NA,"WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505",NA
"U100",0.005471372,1,"TN_run3_202011112.csv",603.067812521173,15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,NA,"MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505",NA
"U101",0.005339218,1,"TN_run3_202011112.csv",557.738701358896,15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,NA,"MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505",NA
"U102",0.005525055,1,"TN_run3_202011112.csv",621.481198983365,15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,NA,"MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505",NA
"U103",0.006217773,1,"TN_run3_202011112.csv",859.084988699225,15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,NA,"MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505",NA
"U104",0.007749552,1,"TN_run3_202011112.csv",1384.48853733976,15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,NA,"MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505",NA
"U105",0.00499841009380544,1,"TN_run1_20201028.csv",382.027194015313,3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,NA,"WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505",NA
"U106",0.00517087514556578,1,"TN_run1_20201028.csv",444.280217411553,3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,NA,"WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505",NA
"U107",0.00472407678889787,1,"TN_run1_20201028.csv",283.003783333184,3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,NA,"FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505",NA
"U108",0.00566772165889634,1,"TN_run1_20201028.csv",623.622045236988,3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,NA,"FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505",NA
"U109",0.00696754428951182,1,"TN_run1_20201028.csv",1092.80631073741,3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,NA,"FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505",NA
"U11",0.005259681,1,"TN_run2_202011102.csv",664.894224429074,35,"MI","DeepHole","6/7/2020","10:47","point",10,10,NA,"MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505",NA
