"sample","abs","df","runID","TP","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"U1",0.732,1,"TP_run2_20201102.xlsx",121.371025356516,35,"HB","DeepHole","6/3/2020","10:40","point",7,7,"","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505"
"U10",0.95,1,"TP_run2_20201102.xlsx",158.603349657536,35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,"","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505"
"U100",0.159,1,"TP_run3_20201109.xlsx",23.0399820648685,15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,"","MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505"
"U101",0.309,1,"TP_run3_20201109.xlsx",48.4345185799596,15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,"","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505"
"U102",0.178,1,"TP_run3_20201109.xlsx",26.25662335678,15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,"","MO_Inlet1_20200720_0900_Surface_0_Limno.Sample.20160505"
"U103",0.216,1,"TP_run3_20201109.xlsx",32.6899059406031,15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,"","MO_Inlet2_20200720_0900_Surface_0_Limno.Sample.20160505"
"U104",0.23,1,"TP_run3_20201109.xlsx",35.0600626820116,15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,"","MO_Inlet3_20200720_0900_Surface_0_Limno.Sample.20160505"
"U105",0.077,1,"TP_run1_20201028.xlsx",12.0671890470544,3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,"","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505"
"U106",0.187,1,"TP_run1_20201028.xlsx",30.6045660099712,3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,"","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505"
"U107",0.054,1,"TP_run1_20201028.xlsx",8.19119204571725,3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,"","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505"
"U108",0.453,1,"TP_run1_20201028.xlsx",75.431313938479,3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,"","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505"
"U109",0.271,1,"TP_run1_20201028.xlsx",44.7603811452894,3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,"","FE_Inlet1_20200722_1145_Surface_0_Limno.Sample.20160505"
"U11",0.353,1,"TP_run2_20201102.xlsx",56.6414340258445,35,"MI","DeepHole","6/7/2020","10:47","point",10,10,"","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505"
"U110",0.043,1,"TP_run1_20201028.xlsx",6.33745434942558,15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,"","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505"
"U111",0.092,1,"TP_run1_20201028.xlsx",14.5950131783612,15,"CR","DeepHole","7/23/2020","10:30","Hypo",8,8,"","CR_DeepHole_20200723_1030_Hypo_8_Limno.Sample.20160505"
"U112",0.05,1,"TP_run1_20201028.xlsx",7.5171056107021,15,"CR","Outlet","7/23/2020","10:30","Surface",0,0,"","CR_Outlet_20200723_1030_Surface_0_Limno.Sample.20160505"
"U113",0.046,1,"TP_run1_20201028.xlsx",6.84301917568694,17,"BA","DeepHole","7/27/2020","11:30","PML",0,2.5,"","BA_DeepHole_20200727_1130_PML_2.5_Limno.Sample.20160505"
"U114",0.058,1,"TP_run1_20201028.xlsx",8.86527848073241,17,"BA","DeepHole","7/27/2020","11:30","Hypo",7,7,"","BA_DeepHole_20200727_1130_Hypo_7_Limno.Sample.20160505"
"U115",0.115,1,"TP_run1_20201028.xlsx",18.4710101796984,17,"BR","DeepHole","7/27/2020","9:25","PML",0,2,"","BR_DeepHole_20200727_0925_PML_2_Limno.Sample.20160505"
"U116",0.277,1,"TP_run1_20201028.xlsx",45.7715107978122,17,"BR","DeepHole","7/27/2020","9:25","Hypo",4,4,"","BR_DeepHole_20200727_0925_Hypo_4_Limno.Sample.20160505"
"U117",0.097,1,"TP_run1_20201028.xlsx",15.4376212221302,3,"FE","DeepHole","7/28/2020","12:10","PML",0,1,"","FE_DeepHole_20200728_1210_PML_1_Limno.Sample.20160505"
"U118",0.49,1,"TP_run1_20201028.xlsx",81.6666134623692,3,"FE","DeepHole","7/28/2020","12:10","Hypo",8,8,"","FE_DeepHole_20200728_1210_Hypo_8_Limno.Sample.20160505"
"U119",0.254,1,"TP_run1_20201028.xlsx",41.895513796475,3,"FE","Inlet1","7/28/2020","12:10","Surface",0,0,"","FE_Inlet1_20200728_1210_Surface_0_Limno.Sample.20160505"
"U12",0.189,1,"TP_run2_20201102.xlsx",28.6317955608574,35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,"","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505"
"U120",0.091,1,"TP_run1_20201028.xlsx",14.4264915696074,3,"WL","DeepHole","7/28/2020","10:15","PML",0,1.5,"","WL_DeepHole_20200728_1015_PML_1.5_Limno.Sample.20160505"
"U121",0.372,1,"TP_run1_20201028.xlsx",61.7810636294221,3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,"","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505"
"U122",0.053,1,"TP_run1_20201028.xlsx",8.02267043696347,17,"PA","DeepHole","7/29/2020","10:15","PML",0,2.5,"","PA_DeepHole_20200729_1015_PML_2.5_Limno.Sample.20160505"
"U123",0.139,1,"TP_run1_20201028.xlsx",22.5155287897893,17,"PA","DeepHole","7/29/2020","10:15","Hypo",7,7,"","PA_DeepHole_20200729_1015_Hypo_7_Limno.Sample.20160505"
"U124",0.052,1,"TP_run1_20201028.xlsx",7.85414882820968,17,"PE","DeepHole","7/29/2020","8:45","PML",0,2,"","PE_DeepHole_20200729_0845_PML_2_Limno.Sample.20160505"
"U125",1.169,1,"TP_run1_20201028.xlsx",196.092785806192,17,"PE","DeepHole","7/29/2020","8:45","Hypo",10,10,"","PE_DeepHole_20200729_0845_Hypo_10_Limno.Sample.20160505"
"U126",0.086,1,"TP_run1_20201028.xlsx",13.5838835258385,17,"TU","DeepHole","7/29/2020","11:30","PML",0,1.5,"","TU_DeepHole_20200729_1130_PML_1.5_Limno.Sample.20160505"
"U127",0.145,1,"TP_run1_20201028.xlsx",23.526658442312,17,"TU","DeepHole","7/29/2020","11:30","Hypo",6,6,"","TU_DeepHole_20200729_1130_Hypo_6_Limno.Sample.20160505"
"U128",0.202,1,"TP_run1_20201028.xlsx",33.132390141278,15,"MO","DeepHole","8/3/2020","8:50","PML",0,1,"","MO_DeepHole_20200803_0850_PML_1_Limno.Sample.20160505"
"U129",0.214,1,"TP_run1_20201028.xlsx",35.1546494463235,15,"MO","DeepHole","8/3/2020","8:50","Hypo",4,4,"","MO_DeepHole_20200803_0850_Hypo_4_Limno.Sample.20160505"
"U13",0.129,1,"TP_run2_20201102.xlsx",18.3843668541547,35,"TF","DeepHole","6/7/2020","11:45","point",7,7,"","TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505"
"U130",0.125,1,"TP_run1_20201028.xlsx",20.1562262672363,15,"MO","Inlet1","8/3/2020","8:50","Surface",0,0,"","MO_Inlet1_20200803_0850_Surface_0_Limno.Sample.20160505"
"U131",0.197,1,"TP_run1_20201028.xlsx",32.2897820975091,15,"MO","Inlet2","8/3/2020","8:50","Surface",0,0,"","MO_Inlet2_20200803_0850_Surface_0_Limno.Sample.20160505"
"U132",0.292,1,"TP_run1_20201028.xlsx",48.299334929119,15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,"","MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505"
"U133",0.095,1,"TP_run1_20201028.xlsx",15.1005780046226,3,"FE","DeepHole","8/4/2020","10:45","PML",0,2,"","FE_DeepHole_20200804_1045_PML_2_Limno.Sample.20160505"
"U134",0.441,1,"TP_run1_20201028.xlsx",73.4090546334336,3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,"","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505"
"U135",0.605,1,"TP_run1_20201028.xlsx",101.046598469055,3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,"","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505"
