"siteID","sampleID","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","crew","weather","comments","metadataID","updateID"
"FE_DeepHole","FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212",2020-06-04,2020-06-04 10:45:00,"tow",0,8,"BB and RN","sunny and breezy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200604_0915_tow_8_zoopCounts.20191212",2020-06-04,2020-06-04 09:15:00,"tow",0,8,"BB and RN","sunny and breezy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200609_1148_tow_8_zoopCounts.20191212",2020-06-09,2020-06-09 11:48:00,"tow",0,8,"RN and CS","sunny misty clouds","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200609_1020_tow_8_zoopCounts.20191212",2020-06-09,2020-06-09 10:20:00,"tow",0,8,"RN and CS","sunny hot","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200616_1035_tow_8_zoopCounts.20191212",2020-06-16,2020-06-16 10:35:00,"tow",0,8,"RN and CS","sunny and windy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200616_0856_tow_8_zoopCounts.20191212",2020-06-16,2020-06-16 08:56:00,"tow",0,8,"RN and CS","sunny and windy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200623_1125_tow_8_zoopCounts.20191212",2020-06-23,2020-06-23 11:25:00,"tow",0,8,"RN and CS","Full Cloud","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200623_0945_tow_8_zoopCounts.20191212",2020-06-23,2020-06-23 09:45:00,"tow",0,8,"RN and CS","full cloud","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200630_1130_tow_8_zoopCounts.20191212",2020-06-30,2020-06-30 11:30:00,"tow",0,8,"RN and CS","sunny hot","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200630_0958_tow_8_zoopCounts.20191212",2020-06-30,2020-06-30 09:58:00,"tow",0,8,"RN and CS","sunny hot","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200707_1130_tow_8_zoopCounts.20191212",2020-07-07,2020-07-07 11:30:00,"tow",0,8,"RN and CS","sunny hot sticky","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200707_1000_tow_8_zoopCounts.20191212",2020-07-07,2020-07-07 10:00:00,"tow",0,8,"RN and CS","sunny hot","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200715_1015_tow_8_zoopCounts.20191212",2020-07-15,2020-07-15 10:15:00,"tow",0,8,"RN and CS","sunny breezy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200715_0907_tow_8_zoopCounts.20191212",2020-07-15,2020-07-15 09:07:00,"tow",0,8,"RN and CS","sunny nice","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200721_0957_tow_8_zoopCounts.20191212",2020-07-21,2020-07-21 09:57:00,"tow",0,8,"RN and CS","full cloud cold rainy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200722_1145_tow_8_zoopCounts.20191212",2020-07-22,2020-07-22 11:45:00,"tow",0,8,"RN and CS","full cloud rainy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200728_1210_tow_8_zoopCounts.20191212",2020-07-28,2020-07-28 12:10:00,"tow",0,8,"RN and CS","sunny and windy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200728_1015_tow_8_zoopCounts.20191212",2020-07-28,2020-07-28 10:15:00,"tow",0,8,"RN and CS","sunny breezy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200804_1045_tow_8_zoopCounts.20191212",2020-08-04,2020-08-04 10:45:00,"tow",0,8,"RN and CS","sunny","added to table by RNN in processing","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200804_0845_tow_8_zoopCounts.20191212",2020-08-04,2020-08-04 08:45:00,"tow",0,8,"RN and CS","sunny cool","added to table by RNN in processing","zoopCounts.20191212","longZoops_2020.20201123"
"FE_DeepHole","FE_DeepHole_20200811_1045_tow_8_zoopCounts.20191212",2020-08-11,2020-08-11 10:45:00,"tow",0,8,"RN and CS","sunny windy","AA","zoopCounts.20191212","longZoops_2020.20201123"
"WL_DeepHole","WL_DeepHole_20200811_0948_tow_8_zoopCounts.20191212",2020-08-11,2020-08-11 09:48:00,"tow",0,8,"RN and CS ","sunny no clouds","AA","zoopCounts.20191212","longZoops_2020.20201123"
