"projectID","sampleID","lakeID","siteName","dateTimeSample","depthTop","depthBottom","wtEmpty","wtFull","wtSubsample","comments","updateID","depthClass","metadataID"
3,"FE_DeepHole_20200604_1045_tow_8_zoopCounts.20191212","FE","DeepHole","2020-06-04 10:45",0,8,13,58,3,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200604_0915_tow_8_zoopCounts.20191212","WL","DeepHole","2020-06-04 9:15",0,8,13.2,66,2.7,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200609_1148_tow_8_zoopCounts.20191212","FE","DeepHole","2020-06-09 11:48",0,8,13.2,80.7,2.8,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200609_1020_tow_8_zoopCounts.20191212","WL","DeepHole","2020-06-09 10:20",0,8,13.1,62.9,2.8,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200616_1035_tow_8_zoopCounts.20191212","FE","DeepHole","2020-06-16 10:35",0,8,13,82.1,3.4,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200616_0856_tow_8_zoopCounts.20191212","WL","DeepHole","2020-06-16 8:56",0,8,13,64.5,3.2,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200623_1125_tow_8_zoopCounts.20191212","FE","DeepHole","2020-06-23 11:25",0,8,12.9,74.2,3.4,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200623_0945_tow_8_zoopCounts.20191212","WL","DeepHole","2020-06-23 9:45",0,8,12.9,66,4.1,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200630_1130_tow_8_zoopCounts.20191212","FE","DeepHole","2020-06-30 11:30",0,8,12.9,82.2,7,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200630_0958_tow_8_zoopCounts.20191212","WL","DeepHole","2020-06-30 9:58",0,8,13,74.7,4.7,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200707_1130_tow_8_zoopCounts.20191212","FE","DeepHole","2020-07-07 11:30",0,8,12.9,65.2,5,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200707_1000_tow_8_zoopCounts.20191212","WL","DeepHole","2020-07-07 10:00",0,8,12.9,72.8,11.2,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200715_1015_tow_8_zoopCounts.20191212","FE","DeepHole","2020-07-15 10:15",0,8,12.8,72.2,6.2,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200715_0907_tow_8_zoopCounts.20191212","WL","DeepHole","2020-07-15 9:07",0,8,12.9,56.8,3.4,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200721_0957_tow_8_zoopCounts.20191212","WL","DeepHole","2020-07-21 9:57",0,8,13.1,91.2,16.4,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200722_1145_tow_8_zoopCounts.20191212","FE","DeepHole","2020-07-22 11:45",0,8,13.1,73.9,7.5,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200728_1210_tow_8_zoopCounts.20191212","FE","DeepHole","2020-07-28 12:10",0,8,12.7,68.8,9.6,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200728_1015_tow_8_zoopCounts.20191212","WL","DeepHole","2020-07-28 10:15",0,8,12.8,77.2,14,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200804_1045_tow_8_zoopCounts.20191212","FE","DeepHole","2020-08-04 10:45",0,8,13,68.7,9.6,"added to table by RNN in processing","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200804_0845_tow_8_zoopCounts.20191212","WL","DeepHole","2020-08-04 8:45",0,8,13,88.9,17.2,"added to table by RNN in processing","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"FE_DeepHole_20200811_1045_tow_8_zoopCounts.20191212","FE","DeepHole","2020-08-11 10:45",0,8,13,68.7,9.6,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
3,"WL_DeepHole_20200811_0948_tow_8_zoopCounts.20191212","WL","DeepHole","2020-08-11 9:48",0,8,13,88.9,17.2,"AA","longZoops_2020.20201123","tow","zoopCounts.20191212"
