"pocID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID"
"P0",99999,"ZZ","zzz","2222-22-22","99:99","Surface",0,0,0,"aaaa","aaa","ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319"
"P1",35,"HB","DeepHole","6/3/2020","10:40","point",7,7,120,"1","","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505"
"P2",3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,140,"1","","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505"
"P3",3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,120,"1","","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505"
"P4",3,"FE","DeepHole","6/4/2020","10:45","PML",0,0.5,140,"1","","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505"
"P5",3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,140,"1","","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505"
"P6",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,140,"1","","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505"
"P7",35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,140,"1","","BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505"
"P8",35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,140,"1","","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505"
"P9",35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,140,"1","","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505"
"P10",35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,140,"1","","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505"
"P11",35,"MI","DeepHole","6/7/2020","10:47","point",10,10,120,"1","","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505"
