"projectID","sampleID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","temp","DOmgL","DOsat","SpC","pH","ORP","PAR","metadataID","comments","updateID"
35,"HB_DeepHole_20200603_1040_point_0_Limno.Sample.20160505","HB","DeepHole","6/3/2020","6/3/2020 10:40","point",0,0,21.6,7.3,82.8,16.6,5.24,272.1,NA,"Limno.Sample.20160505","near bottom sediment",NA
35,"HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505","HB","DeepHole","6/3/2020","6/3/2020 10:40","point",7,7,4.4,0.14,1.4,27.3,5.12,40.1,NA,"Limno.Sample.20160505","near bottom sediment",NA
3,"WL_DeepHole_20200604_0915_point_0_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",0,0,20.5,7.83,87.6,11.9,6.45,228.2,680.4,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_0.25_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",0.25,0.25,NA,NA,NA,NA,NA,NA,501.1,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_0.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",0.5,0.5,20.5,8.12,90.7,11.9,6,245.5,341.8,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_0.75_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",0.75,0.75,NA,NA,NA,NA,NA,NA,215.4,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_1_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",1,1,19.5,7.93,87.2,11.8,6,250.3,164.83,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_1.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",1.5,1.5,17.4,8.43,87.5,11.9,6,256,92.25,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_2_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",2,2,15.1,9.89,98.9,12,5.93,264.4,50.36,"Limno.Sample.20160505","Deck PAR 1105.9",NA
3,"WL_DeepHole_20200604_0915_point_2.5_Limno.Sample.20160505","WL","DeepHole","6/4/2020","6/4/2020 9:15","point",2.5,2.5,12.3,9.89,92.4,11.9,5.43,295.2,27.24,"Limno.Sample.20160505","Deck PAR 1105.9",NA
