unfilteredID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
U0,99999,ZZ,zzz,2222-22-22,99:99,Surface,0,0,aaa,ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319
U1,35,HB,DeepHole,6/3/2020,10:40,point,7,7,,HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505
U2,3,WL,DeepHole,6/4/2020,9:15,PML,0,1,,WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505
U3,3,WL,DeepHole,6/4/2020,9:15,Hypo,8,8,,WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505
U4,3,FE,DeepHole,6/4/2020,10:45,PML,0,0.5,,FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505
U5,3,FE,DeepHole,6/4/2020,10:45,Hypo,8,8,,FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505
U6,3,FE,Inlet1,6/4/2020,10:45,Surface,0,0,,FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505
U7,35,BR,DeepHole,6/6/2020,13:54,point,5.5,5.5,,BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505
U8,35,CB,DeepHole,6/6/2020,10:10,point,5.5,5.5,,CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505
U9,35,NG,DeepHole,6/6/2020,11:35,point,5.5,5.5,,NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505
U10,35,WA,DeepHole,6/6/2020,11:00,point,5.5,5.5,,WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505
U11,35,MI,DeepHole,6/7/2020,10:47,point,10,10,,MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505
U12,35,PR,DeepHole,6/7/2020,15:00,point,2.5,2.5,,PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505
U13,35,TF,DeepHole,6/7/2020,11:45,point,7,7,,TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505
U14,3,FE,DeepHole,6/9/2020,11:48,PML,0,0.5,,FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505
U15,3,FE,DeepHole,6/9/2020,11:48,Hypo,8,8,,FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505
U16,3,FE,Inlet1,6/9/2020,11:48,Surface,0,0,,FE_Inlet1_20200609_1148_Surface_0_Limno.Sample.20160505
U17,3,WL,DeepHole,6/9/2020,10:20,PML,0,1,,WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505
U18,3,WL,DeepHole,6/9/2020,10:20,Hypo,8,8,,WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505
U19,15,HB,DeepHole,6/10/2020,11:40,PML,0,0.5,,HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505
U20,15,HB,DeepHole,6/10/2020,11:40,Hypo,4,4,,HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505
U21,15,HB,Outlet,6/10/2020,11:40,Surface,0,0,,HB_Outlet_20200610_1140_Surface_0_Limno.Sample.20160505
U22,17,ME,DeepHole,6/10/2020,9:36,PML,0,1,,ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505
U23,17,ME,DeepHole,6/10/2020,9:36,Hypo,3.5,3.5,,ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505
U24,17,ME,Outlet,6/10/2020,9:36,Surface,0,0,,ME_Outlet_20200610_0936_Surface_0_Limno.Sample.20160505
U25,15,CR,DeepHole,6/11/2020,9:30,PML,0,2.5,,CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505
U26,15,CR,DeepHole,6/11/2020,9:30,Hypo,8,8,,CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505
U27,15,CR,Outlet,6/11/2020,9:30,Surface,0,0,,CR_Outlet_20200611_0930_Surface_0_Limno.Sample.20160505
U28,15,MO,DeepHole,6/12/2020,9:25,PML,0,1.5,,MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505
U29,15,MO,DeepHole,6/12/2020,9:25,Hypo,4.5,4.5,,MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505
U30,15,MO,Inlet1,6/12/2020,9:25,Surface,0,0,,MO_Inlet1_20200612_0925_Surface_0_Limno.Sample.20160505
U31,15,MO,Inlet2,6/12/2020,9:25,Surface,0,0,,MO_Inlet2_20200612_0925_Surface_0_Limno.Sample.20160505
U32,15,MO,Inlet3,6/12/2020,9:25,Surface,0,0,,MO_Inlet3_20200612_0925_Surface_0_Limno.Sample.20160505
U33,17,BR,DeepHole,6/15/2020,11:42,PML,0,2,,BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505
U34,17,BR,DeepHole,6/15/2020,11:42,Hypo,3.5,3.5,,BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505
U35,17,BA,DeepHole,6/15/2020,14:00,PML,0,2.5,,BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505
U36,17,BA,DeepHole,6/15/2020,14:00,Hypo,6.5,6.5,,BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505
