zoopID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,comments,sampleID
Z805,99999,ZZ,zzz,2222-22-22,99:99,zzz,0,0,aaa,aaa
Z806,3,WL,DeepHole,6/4/2020,9:15,tow,0,8,,WL_DeepHole_20200604_0915_tow_8_Limno.Sample.20160505
Z807,3,FE,DeepHole,6/4/2020,10:45,tow,0,8,,FE_DeepHole_20200604_1045_tow_8_Limno.Sample.20160505
Z808,3,FE,DeepHole,6/9/2020,11:48,tow,0,8,,FE_DeepHole_20200609_1148_tow_8_Limno.Sample.20160505
Z809,3,WL,DeepHole,6/9/2020,10:20,tow,0,8,,WL_DeepHole_20200609_1020_tow_8_Limno.Sample.20160505
Z810,15,HB,DeepHole,6/10/2020,11:40,tow,0,6,,HB_DeepHole_20200610_1140_tow_6_Limno.Sample.20160505
Z811,17,ME,DeepHole,6/10/2020,9:36,tow,0,3.5,,ME_DeepHole_20200610_0936_tow_3.5_Limno.Sample.20160505
Z812,15,CR,DeepHole,6/11/2020,9:30,tow,0,8,,CR_DeepHole_20200611_0930_tow_8_Limno.Sample.20160505
Z813,15,MO,DeepHole,6/12/2020,9:25,tow,0,6,,MO_DeepHole_20200612_0925_tow_6_Limno.Sample.20160505
Z814,17,BR,DeepHole,6/15/2020,11:42,tow,0,4,,BR_DeepHole_20200615_1142_tow_4_Limno.Sample.20160505
Z815,17,BA,DeepHole,6/15/2020,14:00,tow,0,8,,BA_DeepHole_20200615_1400_tow_8_Limno.Sample.20160505
Z816,3,FE,DeepHole,6/16/2020,10:35,tow,0,8,,FE_DeepHole_20200616_1035_tow_8_Limno.Sample.20160505
Z817,3,WL,DeepHole,6/16/2020,8:56,tow,0,8,,WL_DeepHole_20200616_0856_tow_8_Limno.Sample.20160505
Z818,17,PA,DeepHole,6/17/2020,9:20,tow,0,8,,PA_DeepHole_20200617_0920_tow_8_Limno.Sample.20160505
