bpID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,volFiltered,replicate,comments,sampleID
BP0,99999,ZZ,xxxx,2222-22-22,99:99,Surface,0,0,0,1,aaa,ZZ_xxxx_NA_9999_Surface_0_fishScapesLimno.20190319
BP1,35,HB,DeepHole,6/3/2020,10:40,point,7,7,150,1,,HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505
BP2,35,HB,DeepHole,6/3/2020,10:40,point,7,7,150,2,,HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505
BP3,3,WL,DeepHole,6/4/2020,9:15,PML,0,1,200,1,,WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505
BP4,3,WL,DeepHole,6/4/2020,9:15,PML,0,1,200,2,,WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505
BP5,3,WL,DeepHole,6/4/2020,9:15,Hypo,8,8,200,1,,WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505
BP6,3,WL,DeepHole,6/4/2020,9:15,Hypo,8,8,200,2,,WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505
BP7,3,FE,DeepHole,6/4/2020,10:45,PML,0,0.5,200,1,,FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505
BP8,3,FE,DeepHole,6/4/2020,10:45,PML,0,0.5,200,2,,FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505
BP9,3,FE,DeepHole,6/4/2020,10:45,Hypo,8,8,200,1,,FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505
BP10,3,FE,DeepHole,6/4/2020,10:45,Hypo,8,8,200,2,,FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505
BP 11,35,BR,DeepHole,6/6/2020,13:54,point,5.5,5.5,250,1,,BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505
BP 12,35,BR,DeepHole,6/6/2020,13:54,point,5.5,5.5,250,2,,BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505
BP 13,35,CB,DeepHole,6/6/2020,10:10,point,5.5,5.5,250,1,,CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505
BP 14,35,CB,DeepHole,6/6/2020,10:10,point,5.5,5.5,250,2,,CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505
BP 15,35,NG,DeepHole,6/6/2020,11:35,point,5.5,5.5,250,1,,NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505
BP 16,35,NG,DeepHole,6/6/2020,11:35,point,5.5,5.5,250,2,,NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505
BP 17,35,WA,DeepHole,6/6/2020,11:00,point,5.5,5.5,250,1,,WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505
BP 18,35,WA,DeepHole,6/6/2020,11:00,point,5.5,5.5,250,2,,WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505
BP 19,35,MI,DeepHole,6/7/2020,10:47,point,10,10,250,1,,MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505
BP 20,35,MI,DeepHole,6/7/2020,10:47,point,10,10,250,2,,MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505
BP 21,35,PR,DeepHole,6/7/2020,15:00,point,2.5,2.5,250,1,,PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505
BP 22,35,PR,DeepHole,6/7/2020,15:00,point,2.5,2.5,250,2,,PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505
BP 23,35,TF,DeepHole,6/7/2020,11:45,point,7,7,250,1,,TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505
BP 24,35,TF,DeepHole,6/7/2020,11:45,point,7,7,250,2,,TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505
BP25,3,FE,DeepHole,6/9/2020,11:48,PML,0,0.5,150,1,,FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505
BP26,3,FE,DeepHole,6/9/2020,11:48,PML,0,0.5,150,2,,FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505
BP27,3,FE,DeepHole,6/9/2020,11:48,Hypo,8,8,150,1,,FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505
BP28,3,FE,DeepHole,6/9/2020,11:48,Hypo,8,8,150,2,,FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505
BP29,3,WL,DeepHole,6/9/2020,10:20,PML,0,1,250,1,,WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505
BP30,3,WL,DeepHole,6/9/2020,10:20,PML,0,1,250,2,,WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505
BP31,3,WL,DeepHole,6/9/2020,10:20,Hypo,8,8,250,1,,WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505
BP32,3,WL,DeepHole,6/9/2020,10:20,Hypo,8,8,250,2,,WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505
BP33,15,HB,DeepHole,6/10/2020,11:40,PML,0,0.5,150,1,,HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505
