"colorID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","abs440","g440","comments","sampleID"
"C0",99999,"ZZ","zzz","2222-22-22","99:99","Surface",0,0,"0","0","aaa","ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319"
"C1",3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,"0.121",NA,"","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505"
"C2",3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,"0.214",NA,"","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505"
"C3",3,"FE","DeepHole","6/4/2020","10:45","PML",0,0.5,"0.452",NA,"","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505"
"C4",3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,"0.696",NA,"","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505"
"C5",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,"2.256",NA,"","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505"
"C6",3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,"0.4",NA,"","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505"
"C7",3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,"0.675",NA,"","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505"
"C8",3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,"2.293",NA,"","FE_PML_20200609_1148_Surface_0_Limno.Sample.20160505"
"C9",3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,"0.122",NA,"","WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505"
"C10",3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,"0.249",NA,"","WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505"
"C11",15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,"0.698",NA,"","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505"
"C12",15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,"0.799",NA,"","HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505"
"C13",15,"HB","Outlet","6/10/2020","11:40","Surface",0,0,"0.717",NA,"","HB_PML_20200610_1140_Surface_0_Limno.Sample.20160505"
"C14",17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,"0.175",NA,"","ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505"
"C15",17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,"0.46",NA,"","ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505"
"C16",17,"ME","Outlet","6/10/2020","9:36","Surface",0,0,"0.216",NA,"","ME_PML_20200610_0936_Surface_0_Limno.Sample.20160505"
