docID,projectID,lakeID,site,dateSample,timeSample,depthClass,depthTop,depthBottom,replicate,comments,sampleID
D0,99999,ZZ,zzz,2222-22-22,99:99,Surface,0,0,1,aaa,ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319
D1,35,HB,DeepHole,6/3/2020,10:40,point,7,7,1,,HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505
D2,35,HB,DeepHole,6/3/2020,10:40,point,7,7,2,,HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505
D3,3,WL,DeepHole,6/4/2020,9:15,PML,0,1,1,,WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505
D4,3,WL,DeepHole,6/4/2020,9:15,PML,0,1,2,,WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505
D5,3,WL,DeepHole,6/4/2020,9:15,Hypo,8,8,1,,WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505
D6,3,WL,DeepHole,6/4/2020,9:15,Hypo,8,8,2,,WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505
D7,3,FE,DeepHole,6/4/2020,10:45,PML,0,0.5,1,,FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505
D8,3,FE,DeepHole,6/4/2020,10:45,PML,0,0.5,2,,FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505
D9,3,FE,DeepHole,6/4/2020,10:45,Hypo,8,8,1,,FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505
D10,3,FE,DeepHole,6/4/2020,10:45,Hypo,8,8,2,,FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505
D11,3,FE,Inlet1,6/4/2020,10:45,Surface,0,0,1,,FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505
D12,3,FE,Inlet1,6/4/2020,10:45,Surface,0,0,2,,FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505
D13,35,BR,DeepHole,6/6/2020,13:54,point,5.5,5.5,1,,BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505
D14,35,BR,DeepHole,6/6/2020,13:54,point,5.5,5.5,2,,BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505
