"filteredID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","comments","sampleID"
"F0",99999,"ZZ","zzz","2222-22-22","99:99","Surface",0,0,"aaa","ZZ_zzz_NA_9999_Surface_0_fishScapesLimno.20190319"
"F1",35,"HB","DeepHole","6/3/2020","10:40","point",7,7,"","HB_DeepHole_20200603_1040_point_7_Limno.Sample.20160505"
"F2",3,"WL","DeepHole","6/4/2020","9:15","PML",0,1,"","WL_DeepHole_20200604_0915_PML_1_Limno.Sample.20160505"
"F3",3,"WL","DeepHole","6/4/2020","9:15","Hypo",8,8,"","WL_DeepHole_20200604_0915_Hypo_8_Limno.Sample.20160505"
"F4",3,"FE","DeepHole","6/4/2020","10:45","PML",0,0.5,"","FE_DeepHole_20200604_1045_PML_0.5_Limno.Sample.20160505"
"F5",3,"FE","DeepHole","6/4/2020","10:45","Hypo",8,8,"","FE_DeepHole_20200604_1045_Hypo_8_Limno.Sample.20160505"
"F6",3,"FE","Inlet1","6/4/2020","10:45","Surface",0,0,"","FE_Inlet1_20200604_1045_Surface_0_Limno.Sample.20160505"
"F 7",35,"BR","DeepHole","6/6/2020","13:54","point",5.5,5.5,"","BR_DeepHole_20200606_1354_point_5.5_Limno.Sample.20160505"
"F 8",35,"CB","DeepHole","6/6/2020","10:10","point",5.5,5.5,"","CB_DeepHole_20200606_1010_point_5.5_Limno.Sample.20160505"
"F 9",35,"NG","DeepHole","6/6/2020","11:35","point",5.5,5.5,"","NG_DeepHole_20200606_1135_point_5.5_Limno.Sample.20160505"
"F 10",35,"WA","DeepHole","6/6/2020","11:00","point",5.5,5.5,"","WA_DeepHole_20200606_1100_point_5.5_Limno.Sample.20160505"
"F 11",35,"MI","DeepHole","6/7/2020","10:47","point",10,10,"","MI_DeepHole_20200607_1047_point_10_Limno.Sample.20160505"
"F 12",35,"PR","DeepHole","6/7/2020","15:00","point",2.5,2.5,"","PR_DeepHole_20200607_1500_point_2.5_Limno.Sample.20160505"
"F 13",35,"TF","DeepHole","6/7/2020","11:45","point",7,7,"","TF_DeepHole_20200607_1145_point_7_Limno.Sample.20160505"
"F14",3,"FE","DeepHole","6/9/2020","11:48","PML",0,0.5,"","FE_DeepHole_20200609_1148_PML_0.5_Limno.Sample.20160505"
"F15",3,"FE","DeepHole","6/9/2020","11:48","Hypo",8,8,"","FE_DeepHole_20200609_1148_Hypo_8_Limno.Sample.20160505"
"F16",3,"FE","Inlet1","6/9/2020","11:48","Surface",0,0,"","FE_PML_20200609_1148_Surface_0_Limno.Sample.20160505"
"F17",3,"WL","DeepHole","6/9/2020","10:20","PML",0,1,"","WL_DeepHole_20200609_1020_PML_1_Limno.Sample.20160505"
"F18",3,"WL","DeepHole","6/9/2020","10:20","Hypo",8,8,"","WL_DeepHole_20200609_1020_Hypo_8_Limno.Sample.20160505"
"F19",15,"HB","DeepHole","6/10/2020","11:40","PML",0,0.5,"","HB_DeepHole_20200610_1140_PML_0.5_Limno.Sample.20160505"
"F20",15,"HB","DeepHole","6/10/2020","11:40","Hypo",4,4,"","HB_DeepHole_20200610_1140_Hypo_4_Limno.Sample.20160505"
"F21",15,"HB","Outlet","6/10/2020","11:40","Surface",0,0,"","HB_PML_20200610_1140_Surface_0_Limno.Sample.20160505"
"F22",17,"ME","DeepHole","6/10/2020","9:36","PML",0,1,"","ME_DeepHole_20200610_0936_PML_1_Limno.Sample.20160505"
"F23",17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,"","ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505"
"F24",17,"ME","Outlet","6/10/2020","9:36","Surface",0,0,"","ME_PML_20200610_0936_Surface_0_Limno.Sample.20160505"
"F25",15,"CR","DeepHole","6/11/2020","9:30","PML",0,2.5,"","CR_DeepHole_20200611_0930_PML_2.5_Limno.Sample.20160505"
"F26",15,"CR","DeepHole","6/11/2020","9:30","Hypo",8,8,"","CR_DeepHole_20200611_0930_Hypo_8_Limno.Sample.20160505"
"F27",15,"CR","Outlet","6/11/2020","9:30","Surface",0,0,"","CR_PML_20200611_0930_Surface_0_Limno.Sample.20160505"
"F28",15,"MO","DeepHole","6/12/2020","9:25","PML",0,1.5,"","MO_DeepHole_20200612_0925_PML_1.5_Limno.Sample.20160505"
"F29",15,"MO","DeepHole","6/12/2020","9:25","Hypo",4.5,4.5,"","MO_DeepHole_20200612_0925_Hypo_4.5_Limno.Sample.20160505"
"F30",15,"MO","Inlet1","6/12/2020","9:25","Surface",0,0,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505"
"F31",15,"MO","Inlet2","6/12/2020","9:25","Surface",0,0,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505"
"F32",15,"MO","Inlet3","6/12/2020","9:25","Surface",0,0,"","MO_PML_20200612_0925_Surface_0_Limno.Sample.20160505"
"F33",17,"BR","DeepHole","6/15/2020","11:42","PML",0,2,"","BR_DeepHole_20200615_1142_PML_2_Limno.Sample.20160505"
"F34",17,"BR","DeepHole","6/15/2020","11:42","Hypo",3.5,3.5,"","BR_DeepHole_20200615_1142_Hypo_3.5_Limno.Sample.20160505"
"F35",17,"BA","DeepHole","6/15/2020","14:00","PML",0,2.5,"","BA_DeepHole_20200615_1400_PML_2.5_Limno.Sample.20160505"
"F36",17,"BA","DeepHole","6/15/2020","14:00","Hypo",6.5,6.5,"","BA_DeepHole_20200615_1400_Hypo_6.5_Limno.Sample.20160505"
"F37",3,"FE","DeepHole","6/16/2020","10:35","PML",0,1.5,"","FE_DeepHole_20200616_1035_PML_1.5_Limno.Sample.20160505"
"F38",3,"FE","DeepHole","6/16/2020","10:35","Hypo",8,8,"","FE_DeepHole_20200616_1035_Hypo_8_Limno.Sample.20160505"
"F39",3,"FE","Inlet1","6/16/2020","10:35","Surface",0,0,"","FE_PML_20200616_1035_Surface_0_Limno.Sample.20160505"
"F40",3,"WL","DeepHole","6/16/2020","8:56","PML",0,2,"","WL_DeepHole_20200616_0856_PML_2_Limno.Sample.20160505"
"F41",3,"WL","DeepHole","6/16/2020","8:56","Hypo",8,8,"","WL_DeepHole_20200616_0856_Hypo_8_Limno.Sample.20160505"
"F42",17,"PA","DeepHole","6/17/2020","9:20","PML",0,2,"","PA_DeepHole_20200617_0920_PML_2_Limno.Sample.20160505"
"F43",17,"PA","DeepHole","6/17/2020","9:20","Hypo",5.5,5.5,"","PA_DeepHole_20200617_0920_Hypo_5.5_Limno.Sample.20160505"
"F44",17,"PE","DeepHole","6/17/2020","10:38","PML",0,2,"","PE_DeepHole_20200617_1038_PML_2_Limno.Sample.20160505"
"F45",17,"PE","DeepHole","6/17/2020","10:38","Hypo",9,9,"","PE_DeepHole_20200617_1038_Hypo_9_Limno.Sample.20160505"
"F46",15,"MO","DeepHole","6/22/2020","9:05","PML",0,3.5,"","MO_DeepHole_20200622_0905_PML_3.5_Limno.Sample.20160505"
"F47",15,"MO","DeepHole","6/22/2020","9:05","Hypo",7,7,"","MO_DeepHole_20200622_0905_Hypo_7_Limno.Sample.20160505"
"F48",15,"MO","Inlet1","6/22/2020","9:05","Surface",0,0,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505"
"F49",15,"MO","Inlet2","6/22/2020","9:05","Surface",0,0,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505"
"F50",15,"MO","Inlet3","6/22/2020","9:05","Surface",0,0,"","MO_PML_20200622_0905_Surface_0_Limno.Sample.20160505"
"F51",3,"FE","DeepHole","6/23/2020","11:25","PML",0,1.5,"","FE_DeepHole_20200623_1125_PML_1.5_Limno.Sample.20160505"
"F52",3,"FE","DeepHole","6/23/2020","11:25","Hypo",8,8,"","FE_DeepHole_20200623_1125_Hypo_8_Limno.Sample.20160505"
"F53",3,"FE","Inlet1","6/23/2020","11:25","Surface",0,0,"","FE_PML_20200623_1125_Surface_0_Limno.Sample.20160505"
"F54",3,"WL","DeepHole","6/23/2020","9:45","PML",0,1.5,"","WL_DeepHole_20200623_0945_PML_1.5_Limno.Sample.20160505"
"F55",3,"WL","DeepHole","6/23/2020","9:45","Hypo",8,8,"","WL_DeepHole_20200623_0945_Hypo_8_Limno.Sample.20160505"
"F56",15,"HB","DeepHole","6/24/2020","10:53","PML",0,0.5,"","HB_DeepHole_20200624_1053_PML_0.5_Limno.Sample.20160505"
"F57",15,"HB","DeepHole","6/24/2020","10:53","Hypo",4,4,"","HB_DeepHole_20200624_1053_Hypo_4_Limno.Sample.20160505"
"F58",15,"HB","Outlet","6/24/2020","10:53","Surface",0,0,"","HB_PML_20200624_1053_Surface_0_Limno.Sample.20160505"
"F59",17,"ME","DeepHole","6/24/2020","8:52","PML",0,1.5,"","ME_DeepHole_20200624_0852_PML_1.5_Limno.Sample.20160505"
"F60",17,"ME","DeepHole","6/24/2020","8:52","Hypo",3,3,"","ME_DeepHole_20200624_0852_Hypo_3_Limno.Sample.20160505"
"F61",17,"ME","Outlet","6/24/2020","8:52","Surface",0,0,"","ME_PML_20200624_0852_Surface_0_Limno.Sample.20160505"
"F62",15,"CR","DeepHole","6/25/2020","10:06","PML",0,2.5,"","CR_DeepHole_20200625_1006_PML_2.5_Limno.Sample.20160505"
"F63",15,"CR","DeepHole","6/25/2020","10:06","Hypo",11,11,"","CR_DeepHole_20200625_1006_Hypo_11_Limno.Sample.20160505"
"F64",15,"CR","Outlet","6/25/2020","10:06","Surface",0,0,"","CR_PML_20200625_1006_Surface_0_Limno.Sample.20160505"
"F65",17,"TU","DeepHole","6/25/2020","12:31","PML",0,1.5,"","TU_DeepHole_20200625_1231_PML_1.5_Limno.Sample.20160505"
"F66",17,"TU","DeepHole","6/25/2020","12:31","Hypo",7,7,"","TU_DeepHole_20200625_1231_Hypo_7_Limno.Sample.20160505"
"F67",17,"WA","DeepHole","6/29/2020","8:54","PML",0,1,"","WA_DeepHole_20200629_0854_PML_1_Limno.Sample.20160505"
"F68",17,"WA","DeepHole","6/29/2020","8:54","Hypo",3.5,3.5,"","WA_DeepHole_20200629_0854_Hypo_3.5_Limno.Sample.20160505"
"F69",3,"FE","DeepHole","6/30/2020","11:30","PML",0,1,"","FE_DeepHole_20200630_1130_PML_1_Limno.Sample.20160505"
"F70",3,"FE","DeepHole","6/30/2020","11:30","Hypo",8,8,"","FE_DeepHole_20200630_1130_Hypo_8_Limno.Sample.20160505"
"F71",3,"WL","DeepHole","6/30/2020","9:58","PML",0,1,"","WL_DeepHole_20200630_0958_PML_1_Limno.Sample.20160505"
"F72",3,"WL","DeepHole","6/30/2020","9:58","Hypo",8,8,"","WL_DeepHole_20200630_0958_Hypo_8_Limno.Sample.20160505"
"F73",17,"BO","DeepHole","7/1/2020","10:41","PML",0,0.25,"","BO_DeepHole_20200701_1041_PML_0.25_Limno.Sample.20160505"
"F74",17,"BO","DeepHole","7/1/2020","10:41","Hypo",2,2,"","BO_DeepHole_20200701_1041_Hypo_2_Limno.Sample.20160505"
"F75",17,"CB","DeepHole","7/1/2020","9:09","PML",0,0.5,"","CB_DeepHole_20200701_0909_PML_0.5_Limno.Sample.20160505"
"F76",17,"CB","DeepHole","7/1/2020","9:09","Hypo",3,3,"","CB_DeepHole_20200701_0909_Hypo_3_Limno.Sample.20160505"
"F77",17,"NG","DeepHole","7/3/2020","9:20","PML",0,0.25,"","NG_DeepHole_20200703_0920_PML_0.25_Limno.Sample.20160505"
"F78",17,"NG","DeepHole","7/3/2020","9:20","Hypo",4,4,"","NG_DeepHole_20200703_0920_Hypo_4_Limno.Sample.20160505"
"F79",15,"MO","DeepHole","7/6/2020","9:01","PML",0,0.5,"","MO_DeepHole_20200706_0901_PML_0.5_Limno.Sample.20160505"
"F80",15,"MO","DeepHole","7/6/2020","9:01","Hypo",3.5,3.5,"","MO_DeepHole_20200706_0901_Hypo_3.5_Limno.Sample.20160505"
"F81",15,"MO","Inlet1","7/6/2020","9:01","Surface",0,0,"","MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505"
"F82",15,"MO","Inlet2","7/6/2020","9:01","Surface",0,0,"","MO_PML_20200706_0901_Surface_0_Limno.Sample.20160505"
"F83",3,"FE","DeepHole","7/7/2020","11:30","PML",0,0.25,"","FE_DeepHole_20200707_1130_PML_0.25_Limno.Sample.20160505"
"F84",3,"FE","DeepHole","7/7/2020","11:30","Hypo",8,8,"","FE_DeepHole_20200707_1130_Hypo_8_Limno.Sample.20160505"
"F85",3,"WL","DeepHole","7/7/2020","10:00","PML",0,1,"","WL_DeepHole_20200707_1000_PML_1_Limno.Sample.20160505"
"F86",3,"WL","DeepHole","7/7/2020","10:00","Hypo",8,8,"","WL_DeepHole_20200707_1000_Hypo_8_Limno.Sample.20160505"
"F87",15,"HB","DeepHole","7/8/2020","9:45","PML",0,0.25,"","HB_DeepHole_20200708_0945_PML_0.25_Limno.Sample.20160505"
"F88",15,"HB","DeepHole","7/8/2020","9:45","Hypo",3.5,3.5,"","HB_DeepHole_20200708_0945_Hypo_3.5_Limno.Sample.20160505"
"F89",15,"HB","Outlet","7/8/2020","9:45","Surface",0,0,"","HB_PML_20200708_0945_Surface_0_Limno.Sample.20160505"
"F90",15,"CR","DeepHole","7/10/2020","10:25","PML",0,2.5,"","CR_DeepHole_20200710_1025_PML_2.5_Limno.Sample.20160505"
"F91",15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,"","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505"
"F92",15,"CR","Outlet","7/10/2020","10:25","Surface",0,0,"","CR_PML_20200710_1025_Surface_0_Limno.Sample.20160505"
"F93",3,"FE","DeepHole","7/15/2020","10:15","PML",0,1.5,"","FE_DeepHole_20200715_1015_PML_1.5_Limno.Sample.20160505"
"F94",3,"FE","DeepHole","7/15/2020","10:15","Hypo",8,8,"","FE_DeepHole_20200715_1015_Hypo_8_Limno.Sample.20160505"
"F95",3,"FE","Inlet1","7/15/2020","10:15","Surface",0,0,"","FE_PML_20200715_1015_Surface_0_Limno.Sample.20160505"
"F96",3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,"","WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505"
"F97",3,"WL","DeepHole","7/15/2020","9:07","Hypo",8,8,"","WL_DeepHole_20200715_0907_Hypo_8_Limno.Sample.20160505"
"F98",41,"JO","DeepHole","7/16/2020","11:20","PML",0,2,"","JO_DeepHole_20200716_1120_PML_2_Limno.Sample.20160505"
"F99",41,"JO","DeepHole","7/16/2020","11:20","Hypo",4.5,4.5,"","JO_DeepHole_20200716_1120_Hypo_4.5_Limno.Sample.20160505"
"F100",15,"MO","DeepHole","7/20/2020","9:00","PML",0,1,"","MO_DeepHole_20200720_0900_PML_1_Limno.Sample.20160505"
"F101",15,"MO","DeepHole","7/20/2020","9:00","Hypo",4,4,"","MO_DeepHole_20200720_0900_Hypo_4_Limno.Sample.20160505"
"F102",15,"MO","Inlet1","7/20/2020","9:00","Surface",0,0,"","MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505"
"F103",15,"MO","Inlet2","7/20/2020","9:00","Surface",0,0,"","MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505"
"F104",15,"MO","Inlet3","7/20/2020","9:00","Surface",0,0,"","MO_PML_20200720_0900_Surface_0_Limno.Sample.20160505"
"F105",3,"WL","DeepHole","7/21/2020","9:57","PML",0,2,"","WL_DeepHole_20200721_0957_PML_2_Limno.Sample.20160505"
"F106",3,"WL","DeepHole","7/21/2020","9:57","Hypo",8,8,"","WL_DeepHole_20200721_0957_Hypo_8_Limno.Sample.20160505"
"F107",3,"FE","DeepHole","7/22/2020","11:45","PML",0,2,"","FE_DeepHole_20200722_1145_PML_2_Limno.Sample.20160505"
"F108",3,"FE","DeepHole","7/22/2020","11:45","Hypo",8,8,"","FE_DeepHole_20200722_1145_Hypo_8_Limno.Sample.20160505"
"F109",3,"FE","Inlet1","7/22/2020","11:45","Surface",0,0,"","FE_PML_20200722_1145_Surface_0_Limno.Sample.20160505"
"F110",15,"CR","DeepHole","7/23/2020","10:30","PML",0,3.5,"","CR_DeepHole_20200723_1030_PML_3.5_Limno.Sample.20160505"
