lakeID,BA,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200615,,filtered,1,1,0,0,0,0,0
time,1400,,chloro,2,2,0,0,0,0,0
projectID,17,,POC,1,1,0,0,0,0,0
weather,windy overcast,,DOC,2,2,0,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,0,0,0,0
zoop tow depth,8,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 656.4 bottom at 10 m,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,250,250,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,18.5,8.79,92,11.6,6.83,238.3,339,1,NA,NA
0.25,,,,,,,284.5,NA,NA,NA
0.5,18.5,8.81,94.3,11.6,6.61,251,195.64,NA,NA,NA
0.75,,,,,,,156.55,NA,NA,NA
1,18.5,8.8,93.4,11.6,6.63,246.5,118.54,1,NA,NA
1.5,18.5,8.76,93.4,11.6,6.62,245.2,91.68,NA,NA,NA
2,18.5,8.75,93.5,11.6,6.64,246.4,51.37,NA,NA,NA
2.5,18.4,8.75,93.6,11.5,6.65,244,39.35,1,NA,NA
3,17.3,9.07,94.9,11.7,6.58,255.2,32.81,NA,NA,NA
3.5,16.6,9.33,95.5,11.7,6.52,252.9,27.14,NA,NA,NA
4,15.5,9.78,98.5,11.9,6.47,257.1,16.1,NA,NA,NA
4.5,12,10.28,94,12,6.23,272.1,12.92,NA,NA,NA
5,10.8,10.03,91,12.1,6.12,279.1,9.55,NA,NA,NA
5.5,10.3,9.64,85.8,12.1,5.78,294.4,6.74,NA,NA,NA
6,9.8,9.21,81.2,12.2,5.75,297.1,4.3,NA,NA,NA
6.5,9.4,8.18,71.5,12.3,5.5,307,,NA,1,NA
7,9.1,7.87,67.5,12.4,5.49,307.1,,NA,NA,NA
7.5,9,7.52,64.8,12.4,5.41,309.5,,NA,NA,NA
8,8.6,7.26,61.4,12.5,5.38,313.7,,NA,NA,NA
9,7.6,6.56,53.2,12.7,5.28,315.8,,NA,NA,NA
10,6.7,5.27,43.1,13,5.23,317.6,,NA,NA,NA
11,,,,,,,,NA,NA,NA
12,,,,,,,,NA,NA,NA
13,,,,,,,,NA,NA,NA
14,,,,,,,,NA,NA,NA
