lakeID,BH,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200825,,filtered,1,1,0,0,0,0,0
time,950,,chloro,2,2,0,0,0,0,0
projectID,35,,POC,1,1,0,0,0,0,0
weather,sunny and warm and still,,DOC,2,2,0,0,0,0,0
crew,BB and CO,,DNA,0,0,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,sample at 14m for slurries,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,23.8,6.5,77.1,76.2,7.49,,,1,NA,NA
0.25,,,,,,,,NA,NA,NA
0.5,23.3,7.05,81.4,76.2,7.78,,,NA,NA,NA
0.75,,,,,,,,NA,NA,NA
1,23.2,6.33,73.9,76.2,7.87,,,NA,NA,NA
1.5,23.1,6.68,77.9,76.5,7.91,,,NA,NA,NA
2,23,6.99,81.5,76.8,7.93,,,NA,NA,NA
2.5,23,6.78,79.6,76.8,7.95,,,1,NA,NA
3,22.5,5.95,68.7,76.3,7.93,,,NA,NA,NA
3.5,22.2,5.72,65.7,76.7,7.83,,,NA,NA,NA
4,22,5.53,63.3,77,7.72,,,NA,NA,NA
4.5,21.6,4.57,51.7,77.8,7.61,,,NA,NA,NA
5,20.9,3.47,38.1,78.3,7.47,,,1,NA,NA
5.5,19.2,1.61,17.4,79.2,7.08,,,NA,NA,NA
6,16.8,0.13,1.4,84,7.15,,,NA,NA,NA
10,9.9,0.07,0.6,91.3,7.31,,,NA,1,NA
14,9.1,0.07,0.6,119.4,7.12,,,NA,NA,NA
