lakeID,BO,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200701,,filtered,1,1,0,0,0,0,0
time,1041,,chloro,2,2,0,0,0,0,0
projectID,17,,POC,1,1,0,0,0,0,0
weather,sunny hot,,DOC,2,2,0,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,0,0,0,0
zoop tow depth,2,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 1229.5,,chloro,450,250,0,0,0,0,0
,height,units,POC,120,100,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,150,150,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,27.1,6.4,81,39.9,6.38,274.1,900.8,1,NA,NA
0.25,,,,,,,352.6,1,NA,NA
0.5,24.4,2.46,28.9,41.2,6.35,279.3,124.67,NA,NA,NA
0.75,,,,,,,61.87,NA,NA,NA
1,18.2,2.05,21.7,50.1,6.27,280.7,36.47,NA,NA,NA
1.5,12.6,1.7,16.5,55.2,6.01,290.1,7.51,NA,NA,NA
2,9.4,1.61,14,70.4,5.97,287.2,,NA,1,NA
2.5,7.6,1.82,15.3,99.3,6.01,271.6,,NA,NA,NA
3,6.2,1.74,14,132.2,6.04,224.2,,NA,NA,NA
3.5,5.9,1.61,12.8,168.4,6.11,150.1,,NA,NA,NA
