lakeID,CR,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,1,0,0,0,0
date,20200806,,filtered,1,1,1,0,0,0,0
time,922,,chloro,2,2,0,0,0,0,0
projectID,15,,POC,1,1,1,0,0,0,0
weather,sunny,,DOC,2,2,2,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,1,0,0,0,0
zoop tow depth,8,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 1343.4,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,120,0,0,0,0
lake_staffGauge,NA,ft,DNA,200,150,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,7.6,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,21.9,,,10.3,5.61,300.3,914.6,1,NA,NA
0.25,,,,,,,797.2,NA,NA,NA
0.5,21.8,,,10.3,5.81,295.1,685.5,NA,NA,NA
0.75,,,,,,,518.2,NA,NA,NA
1,21.8,,,10.3,5.97,295.4,380.2,NA,NA,NA
1.5,21.7,,,10.3,5.96,304,286.6,1,NA,NA
2,21.6,,,10.3,5.98,306.2,167.82,NA,NA,NA
2.5,21.6,,,10.3,6.05,306.4,102.73,NA,NA,NA
3,21.5,,,10.3,6,311.4,92.83,NA,NA,NA
3.5,21.3,,,10.3,5.97,313.4,55.22,1,NA,NA
4,20,,,10.8,5.6,335.4,49.76,NA,NA,NA
4.5,16.4,,,11.2,5.35,353.2,35.13,NA,NA,NA
5,13.3,,,11.5,5.51,350.2,23.78,NA,NA,NA
5.5,11,,,12,5.17,368.3,11.79,NA,NA,NA
6,9.5,,,12.8,5.01,375.1,,NA,NA,NA
6.5,8.4,,,12.8,5.05,374.6,,NA,NA,NA
7,7.5,,,12.6,4.93,378.2,,NA,NA,NA
7.5,7,,,12.9,4.88,379.5,,NA,NA,NA
8,7,,,14.3,4.92,363.4,,NA,1,NA
9,6.3,,,14.8,4.97,260.4,,NA,NA,NA
10,6.1,,,14.8,5.01,197,,NA,NA,NA
11,6,,,14.7,5.05,171.5,,NA,NA,NA
12,5.7,,,15.3,5.1,136.2,,NA,NA,NA
13,5.6,,,16.5,5.19,111.3,,NA,NA,NA
14,5.6,,,16.5,5.22,107.4,,NA,NA,NA
