lakeID,FE,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,1,0,0,0
date,20200616,,filtered,1,1,0,1,0,0,0
time,1035,,chloro,2,2,0,0,0,0,0
projectID,3,,POC,1,1,0,1,0,0,0
weather,sunny and windy,,DOC,2,2,0,2,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,1,0,0,0
zoop tow depth,8,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR at 1292.8 and minidot in bag at 11:13 out before 11:38,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,100,0,120,0,0,0
lake_staffGauge,NA,ft,DNA,250,250,0,0,0,0,0
Inlet1_staffGauge,3.6,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,19.6,8.32,90.2,12.5,5.43,264.9,792.5,1,NA,NA
0.25,,,,,,,340.4,NA,NA,NA
0.5,19.3,8.2,88.4,12.5,5.01,278,127.8,1,NA,NA
0.75,,,,,,,78.51,NA,NA,NA
1,18.5,7.9,83.9,12.6,4.92,288.1,30.55,NA,NA,NA
1.5,18.1,7.44,78.9,12.8,4.87,288.7,11.29,1,NA,NA
2,16.4,6.89,69.7,13.1,4.88,293.8,,NA,NA,NA
2.5,12.5,6.92,64.6,13.2,4.9,294,,NA,NA,NA
3,8.3,3.09,26.7,14.6,4.82,297.1,,NA,NA,NA
3.5,6.5,1.74,14.2,15.3,4.83,297.1,,NA,NA,NA
4,5.7,1.32,10.2,15.7,4.83,294.9,,NA,NA,NA
4.5,4.9,1.33,10.4,16.1,4.87,294,,NA,NA,NA
5,4.6,1.79,14,16.5,4.82,296.4,,NA,NA,NA
5.5,4.3,1.89,14.6,16.8,4.76,298.6,,NA,NA,NA
6,4.2,1.05,7.8,16.8,4.83,295,,NA,NA,NA
6.5,4.2,0.86,6.4,16.8,4.87,292.1,,NA,NA,NA
7,4.2,0.78,6,17.9,4.95,289.2,,NA,NA,NA
7.5,4.2,0.75,5.7,18.4,4.99,287.1,,NA,NA,NA
8,4.2,0.73,5.7,18.9,5.05,285.6,,NA,1,NA
9,4.2,0.7,5.3,20.3,5.15,221.7,,NA,NA,NA
10,4.3,0.68,5.3,21.9,5.21,181.4,,NA,NA,NA
11,4.3,0.68,5.2,22.7,5.28,153.5,,NA,NA,NA
12,4.4,0.65,5.1,24.1,5.35,127.3,,NA,NA,NA
