lakeID,HB,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,1,0,0,0,0
date,20200805,,filtered,1,1,1,0,0,0,0
time,855,,chloro,2,2,0,0,0,0,0
projectID,15,,POC,1,1,1,0,0,0,0
weather,sunny,,DOC,2,2,2,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,1,0,0,0,0
zoop tow depth,6,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 1061.2 and bottom at 7.5m,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,120,0,0,0,0
lake_staffGauge,NA,ft,DNA,250,200,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,34.29,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,18.1,,,19.1,4.13,310.5,584.9,1,NA,NA
0.25,,,,,,,129.8,NA,NA,NA
0.5,18,,,19.1,4.17,315.1,38.85,1,NA,NA
0.75,,,,,,,12.35,NA,NA,NA
1,17.7,,,19.5,4.32,314.1,3.34,1,NA,NA
1.5,14.6,,,18.7,4.26,319.4,,NA,NA,NA
2,11.2,,,18.7,4.31,316.4,,NA,NA,NA
2.5,8.5,,,19.5,4.4,313.2,,NA,NA,NA
3,6.5,,,20,4.53,253.4,,NA,NA,NA
3.5,5.6,,,22.9,4.69,178.7,,NA,NA,NA
4,5.3,,,24.9,4.73,156.9,,NA,1,NA
4.5,4.8,,,25.2,4.86,143.3,,NA,NA,NA
5,4.7,,,24.9,4.9,139.5,,NA,NA,NA
5.5,4.6,,,26.1,4.95,132.7,,NA,NA,NA
6,4.5,,,27.3,4.95,131.2,,NA,NA,NA
6.5,4.5,,,29.5,5.02,126.8,,NA,NA,NA
7,4.6,,,37,5.04,121.1,,NA,NA,NA
