lakeID,NG,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200814,,filtered,1,1,0,0,0,0,0
time,1000,,chloro,2,2,0,0,0,0,0
projectID,17,,POC,1,1,0,0,0,0,0
weather,sunny,,DOC,2,2,0,0,0,0,0
crew,RN and Cs :'(,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,0,0,0,0
zoop tow depth,6,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 1398.6 and PML is 0m because it was more than one degree different by 0.5m ,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,250,250,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,22.5,6.48,74.6,29.4,3.96,346.6,914.3,1,NA,NA
0.25,,,,,,,174.58,NA,NA,NA
0.5,21.3,5.1,57.7,30.3,3.99,354.1,79.81,NA,NA,NA
0.75,,,,,,,30.65,NA,NA,NA
1,17,0.14,1.4,48.8,3.67,381.5,7.92,NA,NA,NA
1.5,13.4,0.12,1.1,44,3.79,365,,NA,NA,NA
2,10.1,0.15,1.3,38.8,3.86,261.7,,NA,NA,NA
2.5,7.4,0.17,1.4,39.6,3.83,227.4,,NA,NA,NA
3,5.8,0.18,1.4,38,3.87,211.8,,NA,NA,NA
3.5,4.9,0.19,1.3,36.8,3.9,206.2,,NA,1,NA
4,4.3,0.18,1.4,36,3.95,199.4,,NA,NA,NA
4.5,4.1,0.19,1.4,35.4,3.98,195,,NA,NA,NA
5,4,0.17,1.3,35.4,3.99,193.6,,NA,NA,NA
5.5,4,0.17,1.3,35.3,4,192.2,,NA,NA,NA
6,4.1,0.17,1.3,34.6,4.05,189,,NA,NA,NA
6.5,4.1,0.24,1.9,33.4,4.17,179.7,,NA,NA,NA
7,4.3,0.28,2.2,43.4,4.5,155.2,,NA,NA,NA
