lakeID,NH,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200824,,filtered,1,1,0,0,0,0,0
time,1050,,chloro,2,2,0,0,0,0,0
projectID,35,,POC,1,1,0,0,0,0,0
weather,Overcast and warm,,DOC,2,2,0,0,0,0,0
crew,BB and CO,,DNA,0,0,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,bottom samples for slurries at 4m,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,23.6,8.05,94.9,14,7.85,,,1,NA,NA
0.25,,,,,,,,NA,NA,NA
0.5,23.6,7.18,84.5,13.5,7.11,,,NA,NA,NA
0.75,,,,,,,,NA,NA,NA
1,23.4,7.39,86.9,13.5,6.52,,,1,NA,NA
1.5,23.1,7.49,86.3,13.6,6.2,,,NA,NA,NA
2,22.7,6.95,80.4,13.8,6.15,,,1,NA,NA
2.5,20.8,4.61,50.3,15.2,5.49,,,NA,NA,NA
3,18.6,0.22,2.4,18.6,5.26,,,NA,3,NA
4,14.2,0.09,0.8,62.9,5.6,,,NA,NA,NA
