lakeID,PE,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200617,,filtered,1,1,0,0,0,0,0
time,1038,,chloro,2,2,0,0,0,0,0
projectID,17,,POC,1,1,0,0,0,0,0
weather,sunny hot,,DOC,2,2,0,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,0,0,0,0
zoop tow depth,8,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR at 1256.2,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,100,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,250,250,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,21,7.99,89.6,13,5.77,260.3,867.3,1,NA,NA
0.25,,,,,,,667.3,NA,NA,NA
0.5,20.8,7.88,98.1,13,5.74,265.3,529.6,NA,NA,NA
0.75,,,,,,,450,NA,NA,NA
1,20.1,8.13,89.5,13,5.9,261.1,323.5,1,NA,NA
1.5,19.5,8.22,89.1,12.9,5.95,259.1,232.4,NA,NA,NA
2,18.9,8.11,87.3,13,6.17,255.6,134.5,1,NA,NA
2.5,16.1,11.41,115.4,13.5,6.31,256.1,91.21,NA,NA,NA
3,12.1,12.66,117.2,13.9,6.42,255.3,57.14,NA,NA,NA
3.5,9.8,13.11,115.5,14,6.54,254.4,45.55,NA,NA,NA
4,7.7,12.39,103.7,14.5,6.54,260,27.86,NA,NA,NA
4.5,6.5,5.84,46.2,15,5.95,283.2,19.95,NA,NA,NA
5,5.6,3.5,27.2,15,5.84,284,11.67,NA,NA,NA
5.5,5.2,1.24,9.4,15,5.69,285,,NA,NA,NA
6,4.8,0.78,5.8,14.6,5.55,288.4,,NA,NA,NA
6.5,4.6,0.65,4.9,14.9,5.59,284.5,,NA,NA,NA
7,4.5,0.6,4.5,16.2,5.61,282,,NA,NA,NA
7.5,4.4,0.58,4.5,24.8,5.68,274.5,,NA,NA,NA
8,4.4,0.55,4.4,25.8,5.78,266.8,,NA,NA,NA
9,4.3,0.57,4.5,29.6,5.83,112.2,,NA,1,NA
10,4.4,0.56,4.1,33,5.9,80.6,,NA,NA,NA
11,4.4,0.54,4.1,37.1,5.92,71.9,,NA,NA,NA
12,4.4,0.54,4,42.1,5.97,63.3,,NA,NA,NA
13,4.4,0.52,3.9,46.7,6.01,57.2,,NA,NA,NA
14,4.4,0.52,4.1,48.5,6.02,54.1,,NA,NA,NA
15,4.5,0.53,3.9,52.3,6.06,47.5,,NA,NA,NA
16,4.5,0.5,4,53.3,6.09,40,,NA,NA,NA
17,4.5,0.5,3.9,54.4,6.13,36.8,,NA,NA,NA
