lakeID,TB,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200827,,filtered,1,1,0,0,0,0,0
time,1115,,chloro,2,2,0,0,0,0,0
projectID,35,,POC,1,1,0,0,0,0,0
weather,sunny warm and calm,,DOC,2,2,0,0,0,0,0
crew,BB and CO,,DNA,0,0,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,sampled for slurries at 7m,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,24.4,5.68,66.9,19.7,4.26,,,1,NA,NA
0.25,,,,,,,,1,NA,NA
0.5,23.3,5.88,68,19.9,4.41,,,1,NA,NA
1,19,0.23,2.5,31.8,4.08,,,NA,NA,NA
3.5,5.6,0.24,2,24.1,4.47,,,NA,1,NA
7,4.2,0.16,1.2,33.7,4.2,,,NA,NA,NA
