lakeID,TR,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200826,,filtered,1,1,0,0,0,0,0
time,915,,chloro,2,2,0,0,0,0,0
projectID,35,,POC,1,1,0,0,0,0,0
weather,overcast warm and windy,,DOC,2,2,0,0,0,0,0
crew,BB and CO,,DNA,0,0,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,eckman at 10m for slurries,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,20.6,5.9,65.6,29.1,4.66,,,1,NA,NA
0.25,,,,,,,,1,NA,NA
0.5,19.4,0.81,8.7,34.8,3.7,,,1,NA,NA
0.75,,,,,,,,NA,NA,NA
1,16.7,0.1,1.1,42.5,3.64,,,NA,NA,NA
5,4.2,0.11,1.1,36,3.8,,,NA,1,NA
10,4.3,0.17,1.3,34.3,3.89,,,NA,NA,NA
