lakeID,WA,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200814,,filtered,1,1,0,0,0,0,0
time,1115,,chloro,2,2,0,0,0,0,0
projectID,17,,POC,1,1,0,0,0,0,0
weather,sunny,,DOC,2,2,0,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,0,0,0,0
zoop tow depth,6,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,Deck PAR 1794.7,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,250,75,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,24.5,6.64,79.4,157,7.08,194.8,1266.9,1,NA,NA
0.25,,,,,,,867,NA,NA,NA
0.5,24,6.54,77.7,150.5,7.2,190.2,619.1,1,NA,NA
0.75,,,,,,,349.7,NA,NA,NA
1,23.3,5.21,61,151.9,7.33,191.4,300.4,NA,NA,NA
1.5,21.8,4.5,50.7,160.2,7.34,195,192.7,NA,NA,NA
2,19.5,2.7,29.4,208.3,7.34,194.5,126.34,NA,NA,NA
2.5,16.4,0.92,9.5,250.7,7.41,193.7,88.95,NA,NA,NA
3,13.9,0.23,2.2,256,7.43,194.6,62.45,NA,NA,NA
3.5,11.8,0.56,5.2,262,7.36,197.8,35.8,NA,NA,NA
4,9.9,3.48,30.6,274.3,7.41,198.4,14.95,NA,1,NA
4.5,8,0.2,1.7,306.6,7.31,-55.7,,NA,NA,NA
5,7.1,0.19,1.6,316.3,7.34,-78.6,,NA,NA,NA
5.5,6.6,0.19,1.6,321.2,7.34,-88.5,,NA,NA,NA
6,6.3,0.18,1.5,331.8,7.34,-101.4,,NA,NA,NA
6.5,6.2,0.17,1.4,348.7,7.32,-104.5,,NA,NA,NA
7,6.1,0.17,1.4,361,7.32,-108.6,,NA,NA,NA
7.5,6,0.16,1.3,375.1,7.3,-110.9,,NA,NA,NA
