lakeID,WL,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200707,,filtered,1,1,0,0,0,0,0
time,1000,,chloro,2,2,0,0,0,0,0
projectID,3,,POC,1,1,0,0,0,0,0
weather,sunny hot,,DOC,2,2,0,0,0,0,0
crew,RN and CS,,DNA,2,2,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,1,1,0,0,0,0,0
zoop tow depth,8,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,no light profile light meter needs maintenence,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,1.9,ft,DNA,250,150,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,27.6,7.27,92.6,12.2,6.12,260.3,,1,NA,NA
0.25,,,,,,,,NA,NA,NA
0.5,27.2,7.1,89.5,12.2,5.95,266.9,,1,NA,NA
0.75,,,,,,,,NA,NA,NA
1,27.1,6.9,86.8,12.2,5.9,270.9,,1,NA,NA
1.5,25.4,7.6,93.4,12.1,6.01,267.4,,NA,NA,NA
2,20.4,7.65,86.6,12.6,5.5,296.2,,NA,NA,NA
2.5,17.2,9.41,96.5,12.4,5.33,310.4,,NA,NA,NA
3,13,9.84,93.5,12.6,5.33,213.5,,NA,NA,NA
3.5,10.6,7.47,67.9,13.2,5.18,318.3,,NA,NA,NA
4,8.1,4.73,40.2,13.8,5.13,317.1,,NA,NA,NA
4.5,7.1,2.28,18.8,14.1,5.07,315.6,,NA,NA,NA
5,6.1,2.13,17,14.6,5.03,309.1,,NA,NA,NA
5.5,5.7,1.87,14.9,16.1,5.1,286.5,,NA,NA,NA
6,5.3,1.76,13.9,17.4,5.13,254.8,,NA,NA,NA
6.5,5,1.73,13.5,18.2,5.19,172.1,,NA,NA,NA
7,4.8,1.59,12.4,18.4,5.26,113.9,,NA,NA,NA
7.5,4.8,1.66,12.8,18.7,5.28,104.3,,NA,NA,NA
8,4.8,1.61,12.5,19.1,5.31,89.3,,NA,1,NA
9,4.7,1.64,12.8,19.2,5.41,79.8,,NA,NA,NA
10,4.7,1.58,12.3,19.5,5.42,77.9,,NA,NA,NA
11,4.7,1.48,11.5,19.9,5.42,77.5,,NA,NA,NA
12,4.7,1.5,12.1,20,5.44,75.2,,NA,NA,NA
13,4.7,1.46,11.4,21.5,5.48,72.9,,NA,NA,NA
14,4.7,1.46,11.3,21.3,5.5,71.1,,NA,NA,NA
